bus_id_modom,bus_name,v_nom_kv,bus_role,lat,lon,coord_source,oc_point_count,match_method,match_score,oc_puntos
WAANDE,AES ANDRÉS,138.0,network,18.407129,-69.632626,smc_match,2,exact,1.0,AES ANDRES TV; AES ANDRES
WABCOF,ABCO,69.0,network,18.451183,-69.970549,smc_match,1,exact,1.0,ABCO
WABISF,ARROZ BISONO,69.0,network,19.564632,-70.885395,smc_match,1,fuzzy,1.0,ARROZ BISONO AT T1
WABRUF,ACUEDUCTO BRUJUELA,69.0,network,18.594946,-69.615273,smc_match,1,exact,1.0,ACUEDUCTO BRUJUELA
WACIBF,ACERO CIBAO,69.0,network,19.4509,-70.7442,smc_match,1,exact,1.0,ACERO CIBAO
WACLAE,,138.0,network,19.693979,-71.220996,smc_match,1,exact,1.0,PARQUE EOLICO AGUA CLARA
WACLAK,,,network,19.693979,-71.220996,inferred_topology,0,,,
WADMIF,ARGOS DOMINICANA (CEMENTO COLÓN),69.0,network,18.35287,-70.07932,smc_match,1,fuzzy,0.6,ARGOS DOMINICANA (CEMENTOS COLON)
WADOMF,ALUMINIO DOMINICANO,69.0,network,18.451203,-69.981557,inferred_topology,0,,,
WAGUAE,AGUACATE,138.0,network,18.437922,-70.257549,smc_match,1,exact,1.0,AGUACATE 1
WAGUBE,AGUACATE B,138.0,network,18.437922,-70.257549,inferred_topology,0,,,
WAHMIF,ACUADUCTO HERMANAS MIRABAL,69.0,network,19.244777,-70.4,inferred_topology,0,,,
WAHO1E,ARROYO HONDO 138 kV Barra 1,138.0,network,18.501376,-69.945417,manual_override,0,,,
WAHO2E,ARROYO HONDO 138 kV Barra 2,138.0,network,18.501376,-69.945417,manual_override,0,,,
WAHOBF,ARROYO HONDO B,69.0,network,18.501318,-69.945267,smc_match,1,fuzzy,1.0,ARROYO HONDO T1
WAHONF,ARROYO HONDO,69.0,network,18.501376,-69.945417,manual_override,0,,,
WAIAMF,AEROPUERTO INTERNACIONAL LAS AMÉRICAS,69.0,network,18.45485,-69.686639,inferred_topology,0,,,
WAIAZF,ACUEDUCTO INAPA AZUA,69.0,network,18.455389,-70.762139,inferred_topology,0,,,
WAIBAF,AEROPUERTO INTERNACIONAL BARAHONA,69.0,network,18.23893,-71.133221,smc_match,1,fuzzy,0.667,AEROPUERTO BARAHONA
WAIISF,AEROPUERTO INTERNACIONAL LA ISABELA,69.0,network,18.57442,-69.978127,inferred_topology,0,,,
WAISAF,ACUEDUCTO LA ISABELA,69.0,network,18.529991,-69.952668,smc_match,2,exact,1.0,LA ISABELA; ACUEDUCTO LA ISABELA
WAISCF,ACUEDUCTO INAPA SAN CRISTOBAL,69.0,network,18.40202,-70.136347,smc_match,1,exact,1.0,ACUEDUCTO INAPA SAN CRISTOBAL
WAISOF,ACUEDUCTO INAPA SOSUA,69.0,network,19.655278,-70.506444,smc_match,1,exact,1.0,ACUEDUCTO INAPA SOSUA
WAIUNF,AEROPUERTO INTERNACIONAL LA UNIÓN,69.0,network,19.766139,-70.651972,inferred_topology,0,,,
WAIZSF,ASOCIACIÓN INDUSUSTRIAS ZONA FRANCA SAN PEDRO DE MACORIS,69.0,network,18.457774,-69.288703,inferred_topology,0,,,
WAORIF,ACUEDUCTO ORIENTAL,69.0,network,18.571278,-69.785164,smc_match,1,exact,1.0,ACUEDUCTO ORIENTAL
WAPERF,ABANICO PER,69.0,network,19.191764,-69.944653,smc_match,1,exact,1.0,ABANICO PER
WAPFAF,ARTÍCULOS PIEL FAVORITOS,69.0,network,19.4699,-70.71447,smc_match,1,fuzzy,1.0,ARTICULOS DE PIEL LOS FAVORITOS
WAQUIF,ACUEDUCTO QUINIGUA,69.0,network,19.527209,-70.773881,smc_match,1,exact,1.0,ACUEDUCTO QUINIGUA
WASOEF,ACUEDUCTO SUR-OESTE,69.0,network,18.406383,-71.160762,smc_match,1,exact,1.0,ACUEDUCTO SUR - OESTE
