bus_id_modom,lat,lon,coord_source,based_on_bus_id,rationale
WTTA1K,19.324533,-70.737232,manual_override,WTAVBE,"Fernando confirmed the Tavera 138 kV yard; the paired terminal bus should share that substation location."
WTTA2K,19.324533,-70.737232,manual_override,WTAVBE,"Fernando confirmed the Tavera 138 kV yard; the paired terminal bus should share that substation location."
WLDAMK,18.35861,-71.534385,manual_override,WLDAMF,"Same Las Damas substation name across transformer pair; plano_idw placed the mate ~55.2 km away."
WBCARK,18.2207,-71.086583,manual_override,WBARCE,"Barahona Carbón terminal bus should coincide with the Barahona Carbón yard, not the plano_idw point ~41.4 km away."
WDAJAE,19.516752,-71.670978,manual_override,WTDAJK,"Dajabón 138 should share the Dajabón substation location; inferred topology was ~20.6 km away from the matched terminal bus."
WNARAD,19.408663,-70.759480,manual_override,WNARAE,"Fernando confirmed the El Naranjo 345 kV yard for the network bus."
WJSAUD,18.521121,-70.090425,manual_override,WJSAUE,"Fernando confirmed the Julio Sauri 345 kV yard for the network bus."
WGUERE,18.563649,-69.698653,manual_override,WGUERF,"Guerra 138 should share the Guerra substation yard identified by the exact 69 kV OC match."
WGUERD,18.563649,-69.698653,manual_override,WGUERF,"Guerra 345 should share the Guerra substation yard; its propagated point was displaced ~26.6 km from the 138/69 kV location."
WBON2E,18.90853,-70.370158,manual_override,WBONAF,"The exact OC point BONAO sits on the Bonao II / Bonao Pueblo yard southwest of Bonao III; WBON2E was incorrectly pulled onto the PVDC Bonao III point."
WBON2F,18.90853,-70.370158,manual_override,WBONAF,"Bonao II 69 should share the Bonao II yard with the exact OC point BONAO instead of the propagated point ~11.8 km away."
WBONAF,18.90853,-70.370158,manual_override,WBONAF,"The exact OC point BONAO should dominate over the fuzzy contamination from BONAO 3 345 in the aggregated match."
WBON3C,18.91003,-70.366048,manual_override,WBON3E,"Bonao III 230 kV must share the Bonao III yard; the previous propagated point was displaced ~116 km toward Quisqueya/Boca Chica."
WBON3D,18.91003,-70.366048,manual_override,WBON3E,"Bonao III 345 kV was contaminated by Quisqueya generator matches in SMC; Bonao III should use the PVDC/ETED yard centroid."
