bus_i,bus_j,r_ohm,x_ohm,length_km,ice_a,out_of_service,name
WAAINE,WAANDE,0.8137834,5.610409,16.0,8.314294,0,138 kV AES Andrés – AES Andrés Intercon
WAAINE,WGUERE,1.039171,5.898186,17.836,10.71415,0,138 kV AES Interconexión – Guerra L1
WGUERE,WAAINE,1.039171,5.898186,17.836,10.71415,0,138 kV AES Interconexión – Guerra L2
WJIGUE,WAGUAE,1.561186,6.379505,13.27,6.517044,0,138 kV Aguacate – Jigüey
WVALDE,WAGUAE,1.008241,4.119996,8.57,4.208822,0,138 kV Aguacate – Valdesia
WAHONE,WLISAE,0.1742325,1.0607,3.0,1.552693,0,138 kV Arroyo Hondo – La Isabela
WBCARE,WCCA2E,0.7837193,2.898617,6.0,2.885507,0,138 kV Bar Carbón – Cruce Cabral 2 L1
WBCARE,WCCA2E,0.7837193,2.898617,6.0,2.885507,1,138 kV Bar Carbón – Cruce Cabral 2 L2
WBCHIE,WSIBAE,0.01346796,0.08529139,0.345,0.1883693,0,138 kV Boca Chica – SIBA
WBON3E,WBON2E,0.01777384,0.1008582,0.305,0.1859422,0,138 kV Bonao 2 – Bonao 3
WBON2E,WCANAE,8.751533,32.36789,67.0,32.2215,0,138 kV Bonao 2 – Canabacoa L1
WBON2E,WCANAE,8.751533,32.36789,67.0,32.2215,0,138 kV Bonao 2 – Canabacoa L2
WBON2E,WPALAE,7.575953,28.01996,58.0,27.89324,0,138 kV Bonao 2 – Palamara L1
WBON2E,WPALAE,7.575953,28.01996,58.0,27.89324,0,138 kV Bonao 2 – Palamara L2
WFALCE,WBON3E,0.3918597,1.449308,3.0,1.442754,0,138 kV Bonao 3 – FALCONDO
WCEMEE,WSPM2E,0.09920187,0.5613472,1.698,0.8527392,0,138 kV CEMEX – SPM 2
WCANAE,WNARAD,0.9508448,5.39686,16.32,9.803483,0,138 kV Canabacoa – El Naranjo L1
WCANAE,WNARAD,0.9508448,5.39686,16.32,9.803483,0,138 kV Canabacoa – El Naranjo L2
WLGALE,WCANAE,1.136835,4.652406,9.8,4.229613,0,138 kV Canabacoa – La Gallera
WCANAE,WMOCAE,2.442883,9.965329,21.0,8.945327,0,138 kV Canabacoa – Moca
WTAVEE,WCANAE,0.996891,7.25267,15.9,7.922912,0,138 kV Canabacoa – Tavera L1
WTAVEE,WCANAE,0.996891,7.25267,15.9,7.922912,0,138 kV Canabacoa – Tavera L2
WKQAZE,WCCA2E,7.73531,28.60934,59.22,28.47996,0,138 kV Cruce Cabral 2 – km 15 de Azua L1
WKQAZE,WCCA2E,7.73531,28.60934,59.22,28.47996,0,138 kV Cruce Cabral 2 – km 15 de Azua L2
WCCA2E,WLCOCE,6.456192,26.33694,55.5,27.25666,0,138 kV Cruce de Cabral 2 – Los Cocos L1
WCCA2E,WLCOCE,6.456192,26.33694,55.5,27.25666,0,138 kV Cruce de Cabral 2 – Los Cocos L2
WMETRE,WCNPEE,0.1866856,0.9446513,3.2,1.639996,0,138 kV César Nicolás Penson – Metro
WUASDE,WCNPEE,0.1983534,1.003692,3.4,1.742496,0,138 kV César Nicolás Penson – UASD
WMONTE,WDAJAE,4.546515,19.5025,39.2,17.14138,0,138 kV Dajabón – Monte Cristi
WDJAOE,WHNSAE,0.8724583,3.559046,7.5,3.194759,0,138 kV Dajao – Hainamosa
WNARAD,WNAV2E,1.605473,9.110302,27.55,16.79577,0,138 kV El Naranjo – Navarrete 2
WNARAD,WZSANE,0.5202846,2.953061,8.93,5.364284,0,138 kV El Naranjo – ZF Santiago L1
WNARAD,WZSANE,0.5202846,2.953061,8.93,5.364284,0,138 kV El Naranjo – ZF Santiago L2
WHMA2E,WESEIE,3.349575,14.36817,28.88,12.62865,0,138 kV El Seibo – Hato Mayor 2
WESEIE,WHIGUE,4.64278,19.91544,40.03,17.50432,0,138 kV El Seibo – Higüey
WEMBAE,WLPRAE,0.4080916,1.558749,3.5,1.598253,0,138 kV Embajador – Los Prados
WMATAE,WEMBAE,0.2681745,1.024321,2.3,1.050281,0,138 kV Embajador – Matadero
WHNSAE,WGUERE,0.5453374,3.095258,9.36,5.622585,0,138 kV Guerra – Hainamosa L1
WGUERE,WHNSAE,0.5453374,3.095258,9.36,5.622585,0,138 kV Guerra – Hainamosa L2
WHAINE,WITABE,0.3265497,1.207757,2.5,1.202295,0,138 kV Haina – Itabo L1
WITABE,WHAINE,0.3265497,1.207757,2.5,1.202295,0,138 kV Haina – Itabo L2
WHAINE,WMATAE,1.063236,4.337291,9.14,4.488755,0,138 kV Haina – Matadero L1
WHAINE,WMATAE,1.063236,4.337291,9.14,4.488755,0,138 kV Haina – Matadero L2
WLMINE,WHNSAE,0.8130534,3.322527,7.0,3.4318,0,138 kV Hainamosa – Los Mina L1
WLMINE,WHNSAE,0.8130534,3.322527,7.0,3.4318,0,138 kV Hainamosa – Los Mina L2
WLMINE,WHNSAE,0.5466387,2.766057,9.37,4.802113,0,138 kV Hainamosa – Los Mina L3
WLROME,WHIGUE,3.711441,15.92041,32.0,13.99296,0,138 kV Higüey – La Romana
WJSAUD,WITAGE,1.083683,6.150833,18.6,11.17309,0,138 kV Itabo TG – Julio Sauri L1
WJSAUD,WITAGE,1.083683,6.150833,18.6,11.17309,0,138 kV Itabo TG – Julio Sauri L2
WITAGE,WUASDE,1.205289,6.098905,20.66,10.58822,0,138 kV Itabo TG – UASD
WITAGE,WITABE,0.01219628,0.07424897,0.21,0.1086885,0,138 kV Itabo – ItaboTG
WITABE,WPALAE,3.007659,11.10931,23.0,9.70765,0,138 kV Itabo – Palamara
WJSAUD,WPALAE,0.7290187,4.136838,12.51,7.62668,0,138 kV Julio Sauri – Palamara L1
WJSAUD,WPALAE,0.7290187,4.136838,12.51,7.62668,0,138 kV Julio Sauri – Palamara L2
WJSAUD,WPARAE,1.089534,6.632908,18.76,9.709506,0,138 kV Julio Sauri – Paraíso
WLGALE,WZSANE,0.6612201,2.705991,5.7,2.460081,0,138 kV La Gallera – ZF Santiago
WLMINE,WLISAE,0.5658907,2.863474,9.7,4.971237,0,138 kV La Isabela – Los Mina
WSPMAE,WLROME,4.6566,18.99581,40.03,19.65918,0,138 kV La Romana – SPM L1
WSPMAE,WLROME,4.6566,18.99581,40.03,19.65918,0,138 kV La Romana – SPM L2
WLMINE,WLMI5E,0.01982159,0.07571066,0.17,0.07762944,0,138 kV Los Mina – Los Mina 5
WLMI6E,WLMINE,0.0244855,0.09352493,0.21,0.09589519,0,138 kV Los Mina – Los Mina 6
WLMI7E,WLMINE,0.0116155,0.07071331,0.2,0.1035129,0,138 kV Los Mina – Los Mina 7
WTIM2E,WLMINE,0.19777,1.00074,3.39,1.737371,0,138 kV Los Mina – Timbeque 2
WLMINE,WVDUAE,0.1773513,0.8974187,3.04,1.557996,0,138 kV Los Mina – Villa Duarte
WLANGE,WTAVEE,0.6449209,2.719923,5.5,2.443567,0,138 kV López Angostura – Tavera
WMATAE,WMETAE,0.0582988,0.2226784,0.5,0.2283219,0,138 kV Matadero – METALDOM
WUASDE,WMATAE,0.2041873,1.033212,3.5,1.793746,0,138 kV Matadero – UASD
WMETRE,WPARAE,0.2158552,1.092253,3.7,1.896245,0,138 kV Metropolitano – Paraíso
WMOCAE,WSALCE,1.395933,5.694474,12.0,5.111615,0,138 kV Moca – Salcedo
WPIMEE,WNAG2E,4.641536,19.97731,40.0,17.55333,0,138 kV Nagua 2 – Pimentel
WRSJUE,WNAG2E,5.823369,23.75545,50.06,21.32396,0,138 kV Nagua 2 – Río San Juan
WNAG2E,WSANCE,4.35144,18.72873,37.5,16.45625,0,138 kV Nagua 2 – Sánchez
WSFMAE,WPIMEE,2.899563,12.43782,25.0,10.932,0,138 kV Pimentel – SFM
WPIZAE,WVALDE,1.929423,7.88424,16.4,8.054221,0,138 kV Pizarrete – Valdesia
WSFELE,WPPL2E,0.2320071,0.9494706,2.0,0.8631862,0,138 kV Puerto Plata 2 – San Felipe L1
WSFELE,WPPL2E,0.2320071,0.9494706,2.0,0.8631862,0,138 kV Puerto Plata 2 – San Felipe L2
WPPL2E,WZSANE,6.760695,24.9718,51.7,21.82111,1,138 kV Puerto Plata 2 – ZF Santiago L2
