name,hv_bus,lv_bus,v_setpoint,controlled_node
12.47/4.16 kV Trafo Domingo Rodríguez,,,1.0,
13.8/4.16 kV Transformador CE Monción,,,1.0,
13.8/4.16 kV Transformador Zona Monción,,,1.0,
138/12.47 kV Transformador Los Orígenes,WLORIE,,1.0,
138/13.2 kV Transformador METALDOM,WMETAE,,1.0,
138/13.8 Transformador López Angostura,WLANGE,,1.0,
138/13.8 kV Trafo Pimentel Grupo 1,WPIMEE,WPIMEK,1.0,
138/13.8 kV Trafo Pimentel Grupo 2,WPIMEE,WPIMEK,1.0,
138/13.8 kV Trafo Pimentel Grupo 3,WPIMEE,,1.0,
138/13.8 kV Trafo SIBA Grupo 1,WSIBAE,,1.0,
138/13.8 kV Trafo SIBA Grupo 2,WSIBAE,,1.0,
138/13.8 kV Trafo SIBA Grupo 3,WSIBAE,,1.0,
138/13.8 kV Trafo SIBA Grupo 4,WSIBAE,,1.0,
138/13.8 kV Trafo SIBA Grupo 5,WSIBAE,,1.0,
138/13.8 kV Trafo SIBA Grupo 6,WSIBAE,,1.0,
138/13.8 kV Transformado Barahona Carbón,WBCARE,,1.0,
138/13.8 kV Transformador AES Andrés TV,WAANDE,,1.0,
138/13.8 kV Transformador Aguacate 1,WAGUAE,,1.0,
138/13.8 kV Transformador Aguacate 2,WAGUAE,,1.0,
138/13.8 kV Transformador CEMEX,WCEMEE,WCEMEK,1.0,
138/13.8 kV Transformador CESPM 1,WSPM2E,,1.0,
138/13.8 kV Transformador CESPM 2,WSPM2E,,1.0,
138/13.8 kV Transformador CESPM 3,WSPM2E,,1.0,
138/13.8 kV Transformador EDM2,,,1.0,
138/13.8 kV Transformador Haina TG,WHAINE,,1.0,
138/13.8 kV Transformador Itabo 1,WITABE,,1.0,
138/13.8 kV Transformador Itabo 2,WITABE,,1.0,
138/13.8 kV Transformador Jigüey 1,WJIGUE,,1.0,
138/13.8 kV Transformador Jigüey 2,WJIGUE,,1.0,
138/13.8 kV Transformador Las Barias,WVALDE,,1.0,
138/13.8 kV Transformador Los Mina 5,WLMI5E,,1.0,
138/13.8 kV Transformador Los Mina 6,WLMI6E,,1.0,
138/13.8 kV Transformador Los Mina 7,WLMI7E,,1.0,
138/13.8 kV Transformador Monción 1,WMONCE,,1.0,
138/13.8 kV Transformador Monción 2,WMONCE,,1.0,
138/13.8 kV Transformador Monte Río G1,WMRIOE,,1.0,
138/13.8 kV Transformador Monte Río G2,WMRIOE,,1.0,
138/13.8 kV Transformador Monte Río G3,WMRIOE,,1.0,
138/13.8 kV Transformador Palomino 1,WPALOE,,1.0,
138/13.8 kV Transformador Palomino 2,WPALOE,,1.0,
138/13.8 kV Transformador SP Bio-Energy,WSPBEE,WSPBEK,1.0,
138/13.8 kV Transformador San Lorenzo,WITAGE,WITAGK,1.0,
138/13.8 kV Transformador Sultana Este 1,WSESTE,,1.0,
138/13.8 kV Transformador Sultana Este 2,WSESTE,,1.0,
138/13.8 kV Transformador Sultana Este 3,WSESTE,,1.0,
138/13.8 kV Transformador Tavera 1,WTAVEE,,1.0,
138/13.8 kV Transformador Tavera 2,WTAVEE,,1.0,
138/13.8 kV Transformador Valdesia 1,WVALDE,,1.0,
138/13.8 kV Transformador Valdesia 2,WVALDE,,1.0,
138/19 kV Transformador AES Andrés TG,WAANDE,,1.0,
138/20 kV Trafo Monte Cristi Solar G1,WGUAYE,WPFMSK,1.0,
138/20 kV Trafo Monte Cristi Solar G2,WGUAYE,WPFMSK,1.0,
138/34.5 kV Trafo 2 Guzmancito,WLGUZE,,1.0,
138/34.5 kV Trafo Los Guzmancito,WLGUZE,,1.0,
138/34.5 kV Transformador 1 Girasol,WGIRAE,WGIRAK,1.0,
138/34.5 kV Transformador 1 Los Cocos,WLCOCE,WLCOCK,1.0,
138/34.5 kV Transformador 2 Girasol,WGIRAE,WGIRAK,1.0,
138/34.5 kV Transformador 2 Los Cocos,WLCOCE,WLCOCK,1.0,
138/34.5 kV Transformador 3 Los Cocos,WLCOCE,WLCOCK,1.0,
138/34.5 kV Transformador 4 Los Cocos,WLCOCE,WLCOCK,1.0,
138/34.5 kV Transformador Agua Clara,WACLAE,,1.0,
138/34.5 kV Transformador Bayasol,WBAYAE,,1.0,
