Avg(SOCKETS.GPS_LAT_S),SOCKETS.GPS_LONG_S,Min(Puntos_Suministro.PUNTO),Min(Puntos_Suministro.TIPO),Min(Puntos_Suministro.TENSION),Min(Puntos_Suministro.AGENTE)
17.8722019,-71.289374,JUANCHO LOS COCOS,RETIRO,138 KV,EDESUR
17.872531,-71.289259,PARQUE EOLICO JUANCHO-LOS COCOS T1,CENTRAL,138 KV,EGEHAINA
17.872698,-71.289177,PARQUE EOLICO JUANCHO-LOS COCOS T4,CENTRAL,138 KV,EGEHAINA
17.884759,-71.270144,PARQUE EOLICO JUANCHO-LOS COCOS T3,CENTRAL,138 KV,EGEHAINA
17.899195,-71.254682,PARQUE EÓLICO LARIMAR G10,CENTRAL,34.5 KV,EGEHAINA
17.899391,-71.254375,PARQUE EÓLICO LARIMAR G20,CENTRAL,34.5 KV,EGEHAINA
18.028372,-71.712847,PEDERNALES T01,RETIRO,138,EDESUR
18.2178619,-71.0882774,BARAHONA,RETIRO,69 KV,EDESUR
18.2180523,-71.0874078,INGENIO BARAHONA,RETIRO,69 KV,EDESUR
18.220608,-71.241958,KHOURY INDUSTRIAL,UNR,69,EDESUR
18.220666,-71.241845,KHOURY INDUSTRIAL 12.5,RETIRO,12.5,EDESUR
18.2207,-71.0865833,BARAHONA CARBON,CENTRAL,138 KV,EGEHAINA
18.221142,-71.101447,ZF BARAHONA,RETIRO,69 KV,EDESUR
18.23389,-70.237661,CENTRAL TERMOELECTRICA PUNTA CATALINA T2,GENERACION,345,EMPRESA DE GENERACIÓN ELÉCTRICA PUNTA CATALINA
18.23392,-70.237611,SERVICIO DE ESTACION PUNTA CATALINA,GENERACION,138,EMPRESA DE GENERACIÓN ELÉCTRICA PUNTA CATALINA
18.23393,-70.23761,CENTRAL TERMOELECTRICA PUNTA CATALINA T1,GENERACION,345,EMPRESA DE GENERACIÓN ELÉCTRICA PUNTA CATALINA
18.23893,-71.1332212,AEROPUERTO BARAHONA,RETIRO,69 KV,EDESUR
18.252185,-70.204897,PARQUE FOTOVOLTAICO LUCILA,GENERACION,138,ETERRA GRUPO ECOENERGETICO DEL CARIBE
18.259716,-70.494499,PARQUE EOLICO MATAFONGO,GENERACION,138,GRUPO EÓLICO DOMINICANO
18.2720393,-70.3398607,BANI MATADERO T1,RETIRO,69 KV,EDESUR
18.272072,-70.339878,BANI MATADERO T2,RETIRO,69 KV,EDESUR
18.2723715,-70.2295514,PIZARRETE,RETIRO,69 KV,EDESUR
18.2728381,-70.1442076,DOMICEM C03,UNR,4.6,EGEHAINA
18.272838S,-70.144207E,DOMICEM C01,UNR,4.6,EGEHAINA
18.273449,-70.140312,PALENQUE G1,CENTRAL,4.6,DOMICEM GENERACIÓN
18.27349,-70.1402,SERVICIO DE ESTACION PALENQUE,RETIRO,4.6,DOMICEM GENERACIÓN
18.273497,-70.140236,PALENQUE G2,CENTRAL,4.6,DOMICEM GENERACIÓN
18.27354,-70.140165,PALENQUE G3,CENTRAL,4.6,DOMICEM GENERACIÓN
18.273568,-70.140101,PALENQUE G4,CENTRAL,4.6,DOMICEM GENERACIÓN
18.273632,-70.140344,DOMICEM T1,UNR,138 KV,EGEHAINA
18.273671,-70.140236,DOMICEM T2,UNR,138 KV,EGEHAINA
18.273727,-70.140438,DOMICEM SOLAR,GENERACION,4.6,EGEHAINA
18.275921,-70.214029,LOS ANONES,CENTRAL,12.5 KV,EGEHID
18.277627S,-70.326802E,LA FAMOSA,RETIRO,69 KV,EGEHAINA
18.2788808,-70.3243539,BANI T2,RETIRO,69 KV,EDESUR
18.2794091,-70.3467486,BANI PER,RETIRO,69 KV,EDESUR
18.281708,-70.230039,PARQUE SOLAR SANTANASOL,GENERACION,138,AES DOMINICANA RENEWABLE ENERGY, S.R.L.
18.283052,-71.3081315,SALINAS,RETIRO,69 KV,EDESUR
