bus_id_modom,bus_name,plano_label,plano_x,plano_y,applied
WAANDE,AES ANDRÉS,AES Andrés,3340.2,2159.9,no
WAGUAE,AGUACATE,Aguacate,1938.6,1521.1,no
WAGUBE,AGUACATE B,Aguacate,1938.6,1521.1,no
WAHOBF,ARROYO HONDO B,Arroyo Hondo,2696.6,2190.5,no
WAHONF,ARROYO HONDO,Arroyo Hondo,2696.6,2190.5,yes
WAPERF,ABANICO PER,Abanico PER,2453.3,1004.2,no
WAZUAF,AZUA,Azua,1573.9,1807.6,no
WBALDF,BALDOM,BALDOM,1405.4,713.8,yes
WBAPEF,BANÍ PER,Baní PER,1763.3,1971.8,no
WBAYOF,BAYONA,Bayona,2335.0,2374.2,no
WBCARK,TER BARAHONA CARBON,Barahona Carbón,1027.4,2063.8,yes
WBDERF,BRAZO DERECHO,Brazo Derecho,1101.5,740.7,no
WBENEF,BENEDICTO,Benedicto,3700.0,1813.9,no
WBERSF,BERSAL,Bersal,2894.5,1729.0,no
WBON2F,BONAO 2 69,69 kV Bonao 3,2866.0,1341.3,no
WBONAF,BONAO,Bonao,1927.0,1119.0,no
WBOPEF,BONAO PER,Bonao PER,1961.7,1177.2,no
WBPOPF,BANCO POPULAR,Banco Popular,2544.0,2526.0,no
WCAPOF,CAPOTILLO,Capotillo,2730.3,2480.6,no
WCATAF,CATALINA,Catalina,2012.8,2043.2,no
WCAYAF,CAYACOA,Cayacoa,2916.7,1848.2,no
WCCABF,CRUCE DE CABRAL,Cruce de Cabral 2,1044.7,2008.1,yes
WCENOF,CENOVÍ,Cenoví,2079.7,861.7,no
WCESPK,TER_CESPM 1,CESPM 1 CESPM 2,3021.7,1725.4,no
WCNACF,CÍTRICOS NACIONALES,Cítricos Nacionales,1992.5,1388.4,no
WCNSLF,CONSUELO,Consuelo,3250.8,1576.3,no
WCODAF,CODAL,CODAL,2248.0,1010.9,yes
WCONSF,CONSTANZA,Constanza,1668.0,908.3,no
WCORMF,CORMIDOM,CORMIDOM 2,2249.7,1179.5,no
WCOTUF,COTUÍ,Cotuí,2280.7,1086.8,no
WCPVCF,CORVI PVC,CORVI PVC,2125.4,2173.4,no
WCSATF,CIUDAD SATÉLITE,Ciudad Satélite,2142.9,2271.5,no
WDAJAF,DAJAO,Ter. Dajao,2931.7,2130.1,no
WDESPF,DESPACHO,Despacho,2936.4,2526.2,no
WDPEDF,DON PEDRO,Don Pedro,1626.0,633.6,no
WDRODF,DOMINGO RODRÍGUEZ,Domingo Rodríguez 2,670.8,1486.4,no
WEBRIE,EL BRISAL,El Brisal,2982.8,2358.5,no
WECHIF,EL CHIVO,El Chivo,2139.7,959.3,no
WELJIF,E LEÓN JIMÉNEZ,E. León Jiménez,1421.4,519.5,no
WEMBAE,EMBAJADOR,Embajador,2468.8,2684.0,no
WERIOF,EL RÍO,El Río,1827.7,1082.5,yes
WESEIE,EL SEIBO,El Seibo,3364.8,1467.8,no
WFALCM,FALCONDO,Falcondo,1747.5,1275.1,yes
WFANTF,FANTINO,Fantino,2029.4,1097.5,no
WGHACF,GRUPO HACHE,Grupo Haché,2541.1,2573.2,no
WGOYAF,GOYA,Goya,2140.9,1866.1,no
WGPETF,GRUPO PETROQUÍMICA,PETROQUÍMICA,2616.5,2307.5,no
WGPLAF,GOMAS Y PLÁSTICOS,Gomas y Plásticos,3145.2,2556.6,no
WGRCHF,GRUPO RAMOS CHARLES,G. Ramos Charles,3144.2,2500.1,no
WGUAVF,GUAVABERRY,Güavaberry,2979.1,1847.3,no
WGUAYF,GUAYMATE,Güaymate,3552.2,1700.8,no
WGUERF,GUERRA,Guerra,3291.3,2296.2,no
WHATIF,HATILLO,Hatillo 2,2192.3,1073.7,no
