generator_id,cvp_declarado,combustible,combustible_raw
G3AANDGN,4433.8,Gas Natural,Gas Natural
G3AANDFO,12296.73,Fuel Oil / Diesel,Fuel Oil No. 2
G3BERSAL,8951.36,Fuel Oil / Diesel,Fuel Oil No. 6
G3CES2GN,3347.09,Gas Natural,Gas Natural
G3CES1FO,12225.88,Fuel Oil / Diesel,Fuel Oil No. 2
G3E4CCFO,9599.08,Fuel Oil / Diesel,Fuel Oil No. 2
G3CES1GN,3376.43,Gas Natural,Gas Natural
G3CES3FO,11045.55,Fuel Oil / Diesel,Fuel Oil No. 2
G3CES2FO,16586.77,Fuel Oil / Diesel,Fuel Oil No. 2
G3CES3GN,3370.49,Gas Natural,Gas Natural
G3E4CCGN,4484.88,Gas Natural,Gas Natural
G3METALD,6177.64,Fuel Oil / Diesel,Fuel Oil No. 6
G3PALENQ,9103.42,Fuel Oil / Diesel,Fuel Oil No. 6
G3LMINA5,11449.67,Gas Natural,Gas Natural
G3LMINA6,11524.6,Gas Natural,Gas Natural
G3PEMCT,7931.53,Gas Natural,Gas Natural
G3PEMCP,8034.05,Gas Natural,Gas Natural
G3MPLACS,10417.6,Gas Natural,Gas Natural
G3QUI2FO,6794.47,Fuel Oil / Diesel,Fuel Oil No. 6
G3HTG,12565.01,Fuel Oil / Diesel,Fuel Oil No. 2
G3SESTE,7243.49,Fuel Oil / Diesel,Fuel Oil No. 6
G3BCARBO,3400.74,Carbón,Carbón
G3QUI2GN,3401.43,Gas Natural,Gas Natural
G3ITABO2,3080.26,Carbón,Carbón
G3SLORE1,13950.85,Fuel Oil / Diesel,Fuel Oil No. 2
G3ITABO1,3389.21,Carbón,Carbón
G3PCATA2,1829.38,Carbón,Carbón
G3PCATA1,1872.98,Carbón,Carbón
G3EM2SGN,5570.2,Gas Natural,Gas Natural
G3EM3CCP,3609.29,Gas Natural,Gas Natural
G3EM2SFO,7540.25,Fuel Oil / Diesel,Fuel Oil No. 6
G3EM2CGN,5300.25,Gas Natural,Gas Natural
G3EM2CFO,7162.74,Fuel Oil / Diesel,Fuel Oil No. 6
G3EM3CCT,3560.14,Gas Natural,Gas Natural
G3EM3CS,5265.35,Gas Natural,Gas Natural
G3LVEGA,8575.2,Fuel Oil / Diesel,Fuel Oil No. 6
G3PALAMA,8348.66,Fuel Oil / Diesel,Fuel Oil No. 6
G3PAK26,8141.23,Fuel Oil / Diesel,Fuel Oil No. 6
G3PAK60,8084.81,Fuel Oil / Diesel,Fuel Oil No. 6
G3PIMEN4,8273.18,Fuel Oil / Diesel,Fuel Oil No. 6
G3PIMEN2,8748.87,Fuel Oil / Diesel,Fuel Oil No. 6
G3PIMEN1,8651.23,Fuel Oil / Diesel,Fuel Oil No. 6
G3PIMEN3,8232.14,Fuel Oil / Diesel,Fuel Oil No. 6
G3MRIO,9078.91,Fuel Oil / Diesel,Fuel Oil No. 6
G3LOPPGN,7747.86,Gas Natural,Gas Natural
G3LOPPFO,8311.86,Fuel Oil / Diesel,Fuel Oil No. 6
G3IKM22,9364.48,Fuel Oil / Diesel,Fuel Oil No. 6
G3Q1SPGN,3941.66,Gas Natural,Gas Natural
G3QUI1GN,3941.66,Gas Natural,Gas Natural
G3QUI1FO,6558.81,Fuel Oil / Diesel,Fuel Oil No. 6
G3Q1SPFO,6558.81,Fuel Oil / Diesel,Fuel Oil No. 6
G3SIBACC,9616.89,Gas Natural,Gas Natural
G3SIBACS,12817.29,Gas Natural,Gas Natural
G3SPBIOE,4565.77,Biomasa,Biomasa
