loc_name,for_name,outserv,zona,area,red,ruta,typ_id,barra_con,barra_con_for,barra_con_kV,barra_con_id,categoria,num_unidades,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,ref_slack,Q_min_pu,Q_max_pu,P_max_MW,P_min_MW
Palamara Grupo 3,G4PALAM3,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 3.ElmSym,Palamara Motor,1,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\1.ElmTerm,Diesel,4,1.8279000520706177,0.0,0.9900000095367432,constv,0,-1.0,1.0,10.766400337219238,0.0
Palamara Grupo 2,G4PALAM2,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 2.ElmSym,Palamara Motor,R1,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm,Diesel,2,10.766400337219238,0.0,1.0,constv,0,-1.0,1.0,10.766400337219238,0.0
Palamara Grupo 1,G4PALAM1,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 1.ElmSym,Palamara Motor,L2,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm,Diesel,4,10.766400337219238,0.0,0.9900000095367432,constv,0,-1.0,1.0,10.766400337219238,0.0
INCA km 22 Grupo 1,G4IKM22,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\INCA km 22 Grupo 1.ElmSym,INCA G6 Y G7,L1,,12.470000267028809,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L1.ElmTerm,Diesel,2,4.331200122833252,0.0,1.0,constq,0,-1.0,1.0,4.331200122833252,0.0
INCA km 22 Grupo 2,G5IKM22,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\INCA km 22 Grupo 2.ElmSym,INCA_G5,L2,,12.470000267028809,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L2.ElmTerm,Diesel,1,5.737599849700928,0.0,1.0,constq,0,-1.0,1.0,6.079999923706055,0.0
EDM3 TG1,G5EMA3G1,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TG1.ElmSym,Estrella del Mar 3 TG,Terminal EDM3 TG1,WEM31K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm,Gas,1,48.66667175292969,0.0,0.9480000138282776,constv,0,-1.0,1.0,50.959999084472656,0.0
EDM3 TG2,G5EMA3G2,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TG2.ElmSym,Estrella del Mar 3 TG,Terminal EDM3 TG2,WEM32K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm,Gas,1,48.66667175292969,0.0,0.9480000138282776,constv,0,-1.0,1.0,50.959999084472656,0.0
EDM3 TV,G5EMAR3V,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TV.ElmSym,Estrella del Mar 3 TV,Terminal EDM3 TV,WEM33K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TV.ElmTerm,Gas,1,48.66667175292969,0.0,1.0,constv,0,-1.0,1.0,48.327999114990234,0.0
Quisqueya 1 San Pedro,G4Q1SPED,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 San Pedro.ElmSym,Quisqueya 1 Motor,E1,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E1.ElmTerm,Others,4,16.487499237060547,0.0,1.0,constv,0,-1.0,1.0,17.076000213623047,0.0
Quisqueya 1 Grupo 2,G4QUIS12,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 Grupo 2.ElmSym,Quisqueya 1 Motor,E15,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E15.ElmTerm,Others,4,17.076000213623047,0.0,1.0,constv,0,-1.0,1.0,17.076000213623047,0.0
