loc_name,for_name,outserv,zona,area,red,ruta,typ_id,barra_i,barra_i_for,barra_i_kV,barra_i_id,barra_j,barra_j_for,barra_j_kV,barra_j_id,long_km,num_paralelas,I_nom_kA,R1_ohm,X1_ohm,R0_ohm,X0_ohm,B1_uS,B0_uS,G1_uS
69 kV Derivación Río Chavón,ZRCHAF_ZXCHAF-L1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Derivación Río Chavón.ElmLne,P.MADERA/1C/69/1xF - 4/0 ACSR,Tap Chavón,WXCHAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Chavón.ElmTerm,69 kV Río Chavón,WRCHAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Río Chavón.ElmTerm,0.029999999329447746,1,0.3569999933242798,0.007860386744141579,0.013679273426532745,0.019407976418733597,0.04801061376929283,0.11219258606433868,0.053579334169626236,-1.6653344997146072e-18
69 kV La Romana – Rancho Peligro_b,ZGUAYF_ZXBLEF-L1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV La Romana – Rancho Peligro_b.ElmLne,P.MADERA TP-IG 50 P/69 - 2/0 AAAC,Tap Batey Lechuga,WXBLEF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm,Tap Guaymate,WXGYMF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Guaymate.ElmTerm,12.550000190734863,1,0.2849999964237213,6.124405384063721,6.1678972244262695,11.19015884399414,19.64138412475586,42.84480667114258,24.183130264282227,5.22498732140038e-16
69 kV La Romana – Rancho Peligro_a,ZLROMF_ZXBLEF-L1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV La Romana – Rancho Peligro_a.ElmLne,P.MADERA TP-IG 50 P/69 - 2/0 CU,4,,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROMF.ElmSubstat\4.ElmTerm,Tap Batey Lechuga,WXBLEF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm,18.5,1,0.36000001430511475,5.576463222503662,9.089887619018555,13.043909072875977,28.951204299926758,63.15768051147461,35.6484375,7.7021722333370235e-16
69 kV Derivación Batey Lechuga,ZBLECF_ZXBLEF-L1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Derivación Batey Lechuga.ElmLne,P.MADERA TP-IG 50 P/69 - 2/0 CU,Tap Batey Lechuga,WXBLEF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm,69 kV Batey Lechuga,WBLECF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Batey Lechuga.ElmTerm,6.400000095367432,1,0.36000001430511475,1.929154872894287,3.1446099281311035,4.512487411499023,10.015551567077637,21.849143981933594,12.332432746887207,2.664535364979494e-16
69 kV La Romana – La Romana Pueblo_a,ZLROMF_ZXCLRF-L1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV La Romana – La Romana Pueblo_a.ElmLne,P.MADERA TVS-1/1C/69/1xF - 4/0 AAAC,3,,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROMF.ElmSubstat\3.ElmTerm,Tap Capacitor 69 kV La Romana Pueblo,WXCLRF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Capacitor 69 kV La Romana Pueblo.ElmTerm,2.3970000743865967,1,0.3799999952316284,0.7365679144859314,1.1140869855880737,1.6527708768844604,3.7942821979522705,8.722661018371582,4.459401607513428,-3.326505840765266e-17
69 kV Buena Vista – Higüey_c,ZBENEF_ZHIGUF-L1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Buena Vista – Higüey_c.ElmLne,P.MADERA TP-IG 55 P/69 - 4/0 AAAC,Tap Benedicto,WXBENF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Benedicto.ElmTerm,WHIGUF(5),,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(5).ElmTerm,27.5,1,0.3799999952316284,8.448834419250488,13.029640197753906,19.54408073425293,42.570186614990234,97.54069519042969,53.20756149291992,-1.5265566588595902e-15
69 kV Hato Mayor 2 – SPM_b,ZCSULF_ZHMAYF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Hato Mayor 2 – SPM_b.ElmLne,P.MADERA TP-IG 50 P/69 - 559 AAAC,Tap Hato Mayor,WXHMAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Hato Mayor.ElmTerm,Tap Consuelo,WXCSUF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Consuelo.ElmTerm,29.0,1,0.6629999876022339,3.3798928260803223,12.369938850402832,15.19619369506836,43.921600341796875,113.8804931640625,59.4062385559082,-8.049116928532385e-16
69 kV Hato Mayor 2 – SPM_a,ZEVALF_ZHMAYF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Hato Mayor 2 – SPM_a.ElmLne,P.MADERA TVS/1C/69/1xF - 559 AAAC,Tap Hato Mayor,WXHMAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Hato Mayor.ElmTerm,2,,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Hato Mayor 2.ElmSite\WHMA2F.ElmSubstat\2.ElmTerm,0.8999999761581421,1,0.6629999876022339,0.10459627211093903,0.37391397356987,0.46079084277153015,1.3921024799346924,3.615964889526367,1.762068748474121,3.43475235008518e-17
69 kV SPM – ZF SPM Chentec_d,ZZSPAF_ZZSPMF-L1,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV SPM – ZF SPM Chentec_d.ElmLne,P.MADERA TP-IG 55 P/69 - 559 AAAC,Tap ZF SPM,WXZSPF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF SPM.ElmTerm,Tap ZF San Pedro AES,WXSPAF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF San Pedro AES.ElmTerm,0.41999998688697815,1,0.6629999876022339,0.048976339399814606,0.18158058822155,0.2184309959411621,0.6327452659606934,1.6267645359039307,0.8517380952835083,3.205768904195801e-17
69 kV La Romana – Rancho Peligro_c,ZGUAYF_ZRPELF-L1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV La Romana – Rancho Peligro_c.ElmLne,P.MADERA TP-IG 50 P/69 - 2/0 AAAC,Tap Guaymate,WXGYMF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Guaymate.ElmTerm,69 kV Rancho Peligro,WRPELF,69.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Rancho Peligro.ElmTerm,7.300000190734863,1,0.2849999964237213,3.5624032020568848,3.5877010822296143,6.509016990661621,11.424869537353516,24.921680450439453,14.066681861877441,3.039235741669603e-16
