clase,descripcion,cantidad,archivo
StaCubic,Cubicle,12252,todos_los_elementos/StaCubic.csv
ElmTerm,Terminal,5177,todos_los_elementos/ElmTerm.csv
ElmCoup,Breaker/Switch,4815,todos_los_elementos/ElmCoup.csv
RelLogdip,Logic/DIP,3294,todos_los_elementos/RelLogdip.csv
RelUlim,Voltage Protection,2978,todos_los_elementos/RelUlim.csv
RelTimer,Timer,2522,todos_los_elementos/RelTimer.csv
BlkSig,Signal,2495,todos_los_elementos/BlkSig.csv
RelIoc,Definite Time-Overcurrent,2459,todos_los_elementos/RelIoc.csv
RelChar,Common Time Characteristic,2099,todos_los_elementos/RelChar.csv
RelFrq,Frequency Protection,1668,todos_los_elementos/RelFrq.csv
RelMeasure,Measurement,1607,todos_los_elementos/RelMeasure.csv
RelToc,Inverse Time-Overcurrent,1425,todos_los_elementos/RelToc.csv
ElmRelay,Relay,1423,todos_los_elementos/ElmRelay.csv
RelLogic,Logic,1379,todos_los_elementos/RelLogic.csv
RelDispoly,Distance Polygon,1313,todos_los_elementos/RelDispoly.csv
RelFdetect,Starting/Fault Detector,1010,todos_los_elementos/RelFdetect.csv
RelDismho,Distance Mho,990,todos_los_elementos/RelDismho.csv
ElmLne,Line,769,todos_los_elementos/ElmLne.csv
BlkRef,Block Reference,739,todos_los_elementos/BlkRef.csv
BlkDef,DSL Model Type,721,todos_los_elementos/BlkDef.csv
StaSwitch,Switch,713,todos_los_elementos/StaSwitch.csv
ElmDsl,DSL Model,561,todos_los_elementos/ElmDsl.csv
RelZpol,Distance Polarising,523,todos_los_elementos/RelZpol.csv
RelDir,Direction Determination,515,todos_los_elementos/RelDir.csv
ElmLod,General Load,442,todos_los_elementos/ElmLod.csv
RelLslogic,Load Shedding Logic,422,todos_los_elementos/RelLslogic.csv
RelFmeas,Frequency Measurement,346,todos_los_elementos/RelFmeas.csv
BlkSum,Summation Point,292,todos_los_elementos/BlkSum.csv
RelDisloadenc,Distance Load Encroachment,225,todos_los_elementos/RelDisloadenc.csv
ElmSubstat,Substation,217,todos_los_elementos/ElmSubstat.csv
BlkSlot,Slot,201,todos_los_elementos/BlkSlot.csv
RelDisdir,Distance Direction Determination,187,todos_los_elementos/RelDisdir.csv
ElmTr2,2-Winding Transformer,181,todos_los_elementos/ElmTr2.csv
StaVt,Voltage Transformer,180,todos_los_elementos/StaVt.csv
ElmComp,Composite Model,165,todos_los_elementos/ElmComp.csv
RelRecl,Automatic Recloser,155,todos_los_elementos/RelRecl.csv
TypTr2,2-Winding Transformer Type,142,todos_los_elementos/TypTr2.csv
StaCt,Current Transformer,136,todos_los_elementos/StaCt.csv
RelCtadapt,CT Adapter,132,todos_los_elementos/RelCtadapt.csv
RelBiasidiff,Differential Protection,115,todos_los_elementos/RelBiasidiff.csv
ElmTow,Line Couplings,109,todos_los_elementos/ElmTow.csv
ElmSym,Synchronous Machine,108,todos_los_elementos/ElmSym.csv
ElmSite,Site,107,todos_los_elementos/ElmSite.csv
RelDispspoly,Distance Power Swing,105,todos_los_elementos/RelDispspoly.csv
RelFdetsie,Siemens Starting,93,todos_los_elementos/RelFdetsie.csv
StaVmea,Voltage Measurement,89,todos_los_elementos/StaVmea.csv
ElmBmu,Virtual Power Plant,79,todos_los_elementos/ElmBmu.csv
IntMat,Matrix,79,todos_los_elementos/IntMat.csv
TypTow,Tower Type,76,todos_los_elementos/TypTow.csv
BlkMul,Multiplier,64,todos_los_elementos/BlkMul.csv
IntFolder,Folder,61,todos_los_elementos/IntFolder.csv
TypSym,Synchronous Machine Type,56,todos_los_elementos/TypSym.csv
ElmPhi__pll,Phase Measurement Device PLL - old,55,todos_los_elementos/ElmPhi__pll.csv
TypChatoc,I-t Characteristic,51,todos_los_elementos/TypChatoc.csv
StaPqmea,PQ Measurement,50,todos_los_elementos/StaPqmea.csv
RelFdetabb,ABB Starting,49,todos_los_elementos/RelFdetabb.csv
ElmGenstat,Static Generator,47,todos_los_elementos/ElmGenstat.csv
RelSeldir,SEL Direction Determination,35,todos_los_elementos/RelSeldir.csv
TypCon,Conductor Type,33,todos_los_elementos/TypCon.csv
ElmShnt,Shunt/Filter,30,todos_los_elementos/ElmShnt.csv
TypFrq,Frequency Protection Type,30,todos_los_elementos/TypFrq.csv
TypBar,Busbar Type,19,todos_los_elementos/TypBar.csv
ElmRes,Results,17,todos_los_elementos/ElmRes.csv
TypCt,Current Transformer Type,16,todos_los_elementos/TypCt.csv
ElmStactrl,Station Control,15,todos_los_elementos/ElmStactrl.csv
TypLogic,Logic Type,15,todos_los_elementos/TypLogic.csv
BlkGoto,Goto,12,todos_los_elementos/BlkGoto.csv
ElmOwner,Owner,12,todos_los_elementos/ElmOwner.csv
BlkDiv,Divisor,11,todos_los_elementos/BlkDiv.csv
ElmNet,Grid,11,todos_los_elementos/ElmNet.csv
ElmZone,Zone,11,todos_los_elementos/ElmZone.csv
IntQlim,Capability Curve,11,todos_los_elementos/IntQlim.csv
BlkSwt,Switch for Block Diagrams,10,todos_los_elementos/BlkSwt.csv
StaImea,Current Measurement,9,todos_los_elementos/StaImea.csv
TypVt,Voltage Transformer Type,8,todos_los_elementos/TypVt.csv
ElmBoundary,Boundary,7,todos_los_elementos/ElmBoundary.csv
TypRelay,Relay Type,6,todos_los_elementos/TypRelay.csv
BlkFrom,From,4,todos_los_elementos/BlkFrom.csv
ElmArea,Area,4,todos_los_elementos/ElmArea.csv
StaVtsec,Sec. Voltage Transformer,4,todos_los_elementos/StaVtsec.csv
