loc_name,cerrado,uso,outserv,barra_for,barra,elemento,elemento_for,ruta
Switch,1,cbk,,WMPSOF,69 kV Monte Plata Solar,69/20 kV Transformador Monte Plata Solar,WMPSOF_WMPSOK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\69 kV Monte Plata Solar.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
KPF MONTE PLATA,1,cbk,,WXMPSF,Tap Monte Plata Solar,69 kV Dajao – Monte Plata Solar_d,ZMPSOF_ZXMPSF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Monte Plata Solar.ElmTerm\Cub_3.StaCubic\KPF MONTE PLATA.StaSwitch
KPF HIGUEY,1,cbk,,WXBENF,Tap Benedicto,69 kV Buena Vista – Higüey_c,ZBENEF_ZHIGUF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Benedicto.ElmTerm\Cub_2.StaCubic\KPF HIGUEY.StaSwitch
KPF ASOC ZF SPM,1,cbk,,WXZSPF,Tap ZF SPM,69 kV Derivación Asoc Industrias ZF SPM,ZZSPMF_ZXZSPF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF SPM.ElmTerm\Cub_2.StaCubic\KPF ASOC ZF SPM.StaSwitch
KPF ZF SPM CHENTEC,1,cbk,,WXSPAF,Tap ZF San Pedro AES,69 kV SPM – ZF SPM Chentec_e,ZZSPAF_ZZSPCF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF San Pedro AES.ElmTerm\Cub_3.StaCubic\KPF ZF SPM CHENTEC.StaSwitch
KPF ZF SPM AES,1,cbk,,WXSPAF,Tap ZF San Pedro AES,69 kV Derivación ZF San Pedro AES,ZZSPAF_ZXSPAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF San Pedro AES.ElmTerm\Cub_4.StaCubic\KPF ZF SPM AES.StaSwitch
KPF CONSUELO,1,cbk,,WXCSUF,Tap Consuelo,69 kV Hato Mayor 2 – SPM_b,ZCSULF_ZHMAYF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Consuelo.ElmTerm\Cub_4.StaCubic\KPF CONSUELO.StaSwitch
KPF HATO MAYOR,1,cbk,,WXHMAF,Tap Hato Mayor,69 kV Hato Mayor 2 – SPM_a,ZEVALF_ZHMAYF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Hato Mayor.ElmTerm\Cub_4.StaCubic\KPF HATO MAYOR.StaSwitch
KPF YAMASÁ,1,dct,,WXYAMF,Tap Yamasá,69 kV Dajao – Monte Plata Solar_c,ZMPLAF_ZYAMAF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Yamasá.ElmTerm\Cub_3.StaCubic\KPF YAMASÁ.StaSwitch
KPF GUERRA 1,1,cbk,,WXZBVF,Tap ZF Buena Vista,69 kV Boca Chica – Mata de Palma_f,ZGUERF_ZXZBVF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF Buena Vista.ElmTerm\Cub_1.StaCubic\KPF GUERRA 1.StaSwitch
KPF CÉSAR IGLESIAS 3,1,cbk,,WXCIGF,Tap César Iglesias,69 kV Derivación César Iglesias,ZCIGLF_ZXCIGF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap César Iglesias.ElmTerm\Cub_4.StaCubic\KPF CÉSAR IGLESIAS 3.StaSwitch
KPF CÉSAR IGLESIAS,1,dct,,WXCIGF,Tap César Iglesias,69 kV SPM – Boca Chica(Cementos)_a,ZSPMAF_ZXCIGF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap César Iglesias.ElmTerm\Cub_5.StaCubic\KPF CÉSAR IGLESIAS.StaSwitch
KPF CÉSAR IGLESIAS 2,1,cbk,,WXCIGF,Tap César Iglesias,69 kV SPM – Boca Chica(Cementos)_b,ZXCIGF_ZXDBRF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap César Iglesias.ElmTerm\Cub_6.StaCubic\KPF CÉSAR IGLESIAS 2.StaSwitch
