loc_name,for_name,ruta,S_nom_MVA,U_AT_kV,U_BT_kV,uk_pct,ukr_pct,Pcu_kW,Pfe_kW,i0_pct,grupo,con_AT,con_BT,tap_lado,tap_dU_pct,tap_fase_deg,tap_neutro,tap_min,tap_max,f_Hz
69/20 kV Trafo Monte Plata Solar 60 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/20 kV Trafo Monte Plata Solar 60 MVA.TypTr2,60.0,69.0,20.0,12.0,0.19166666269302368,115.0,0.0,0.0,YNyn0,YN,YN,0,2.0,0.0,0,-8,10,60.0
69/13.8 kV Trafo Palamara G1 55 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Palamara G1 55 MVA.TypTr2,55.0,69.0,13.800000190734863,10.15999984741211,0.49090906977653503,270.0,0.0,0.0,YNd11,YN,D,0,2.5,0.0,0,-2,2,60.0
69/12.47 kV Trafo INCA 28 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.47 kV Trafo INCA 28 MVA.TypTr2,28.0,69.0,12.470000267028809,8.0,0.5,140.0,0.0,0.0,Dyn1,D,YN,0,2.5,0.0,0,-2,2,60.0
66/13.8 kV Trafo EDM3 66 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\66/13.8 kV Trafo EDM3 66 MVA.TypTr2,66.0,66.0,13.800000190734863,12.170000076293945,0.28846821188926697,190.38900756835938,0.0,0.0,YNd11,YN,D,0,1.6696969270706177,0.0,0,-9,9,60.0
69/12.5 kV Trafo de Mata de Palma 60 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo de Mata de Palma 60 MVA.TypTr2,60.0,69.0,34.5,12.48783016204834,0.44200000166893005,265.20001220703125,0.0,0.0,YNd11,YN,D,0,1.0,0.0,0,-10,10,60.0
69/34.5 kV Trafo PF Martí 60 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/34.5 kV Trafo PF Martí 60 MVA.TypTr2,60.0,69.0,34.5,12.399999618530273,0.32252615690231323,193.5157012939453,0.0,0.0,YNyn0,YN,YN,0,1.25,0.0,0,-13,13,60.0
69/13.8 kV Trafo Maranatha,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Maranatha.TypTr2,24.0,69.0,13.800000190734863,9.720000267028809,0.7160000205039978,171.83999633789062,0.0,0.0,YNd11,YN,D,0,0.625,0.0,0,-16,16,60.0
69/12.5 kV Trafo Jimenoa 14 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo Jimenoa 14 MVA.TypTr2,14.0,69.0,12.5,7.120069980621338,0.500220000743866,70.03079986572266,0.0,0.0,YNd1,YN,D,0,2.5,0.0,0,-2,2,60.0
345/138 kV Julio Sauri T1 y T2 (600 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\345/138 kV Julio Sauri T1 y T2 (600 MVA).TypTr2,600.0,345.0,138.0,13.770000457763672,0.019797001034021378,118.78199768066406,0.0,0.041999999433755875,YNyn0,YN,YN,0,1.25,0.0,11,1,21,60.0
345/138 kV El Naranjo T1 y T2 (450 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\345/138 kV El Naranjo T1 y T2 (450 MVA).TypTr2,450.0,345.0,138.0,13.5,0.026395998895168304,118.78199768066406,0.0,0.0,YNyn0,YN,YN,0,1.25,0.0,11,1,21,60.0
230/13.8 kV Trafo 18% Quisqueya 90 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\230/13.8 kV Trafo 18% Quisqueya 90 MVA.TypTr2,90.0,230.0,13.800000190734863,18.004444122314453,0.4000000059604645,360.0,0.0,0.0,YNd11,YN,D,0,2.5,0.0,0,-2,2,60.0
230/13.8 kV Trafo18% Quisqueya 106 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\230/13.8 kV Trafo18% Quisqueya 106 MVA.TypTr2,106.0,230.0,13.800000190734863,18.0,0.3962264060974121,420.0,0.0,0.0,YNd11,YN,D,0,2.5,0.0,0,-2,2,60.0
230/34.5 kV Trafo Barrick Carga 150 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\230/34.5 kV Trafo Barrick Carga 150 MVA.TypTr2,150.0,230.0,34.5,11.0,0.43964847922325134,659.4727172851562,0.0,0.10999999940395355,YNyn11,YN,YN,0,1.7999999523162842,0.0,0,-5,5,60.0
345/22 kV Trafo Punta Catalina 425 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\345/22 kV Trafo Punta Catalina 425 MVA.TypTr2,425.0,345.0,22.0,16.0,0.05000000074505806,212.5,0.0,0.0,YNd1,YN,D,0,0.623199999332428,0.0,0,-16,16,60.0
345/230 kV Bonao 3 T1 (300 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\345/230 kV Bonao 3 T1 (300 MVA).TypTr2,300.0,345.0,230.0,17.016000747680664,0.05000000074505806,150.0,0.0,0.0,YNyn0,YN,YN,0,0.6230000257492065,0.0,17,1,33,60.0
230/138 kV Bonao 3 T1 (250MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\230/138 kV Bonao 3 T1 (250MVA).TypTr2,250.0,230.0,138.0,14.579999923706055,0.3019999861717224,755.0,0.0,0.0,YNyn0,YN,YN,0,0.6259999871253967,0.0,11,1,21,60.0
345/138 kV Guerra T1 (450 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\345/138 kV Guerra T1 (450 MVA).TypTr2,450.0,345.0,138.0,9.029999732971191,0.5,2250.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,11,1,21,60.0
