loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\Measurement.BlkSlot,0,,,,,
1 F<,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\1 F<.BlkSlot,0,,,,,
1 Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\1 Logic.BlkSlot,0,,,,,
2 F<,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\2 F<.BlkSlot,0,,,,,
2 Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\2 Logic.BlkSlot,0,,,,,
3 F<,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\3 F<.BlkSlot,0,,,,,
3 Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\3 Logic.BlkSlot,0,,,,,
4 F<,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\4 F<.BlkSlot,0,,,,,
4 Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\4 Logic.BlkSlot,0,,,,,
5 F<,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Relay\Frequency\Freq. 6 Steps.TypRelay\Freq. 6 Steps.BlkDef\5 F<.BlkSlot,0,,,,,
