loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Planta_Monte Plata Solar,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp,0,,,ESTE 69 kV,,Control_Frame
Planta_Palamara 1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 1.ElmComp,0,,,CENTRAL 69 kV,,SYM Frame_no droop_New
Planta_Palamara 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 2.ElmComp,0,,,CENTRAL 69 kV,,SYM Frame_no droop_New
Planta_Palamara 3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 3.ElmComp,0,,,CENTRAL 69 kV,,SYM Frame_no droop_New
Plant_INCA km 22 G1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\Plant_INCA km 22 G1.ElmComp,0,,,CENTRAL 69 kV,,SYM Frame_no droop_New
Plant_INCA km 22 G2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\Plant_INCA km 22 G2.ElmComp,0,,,CENTRAL 69 kV,,SYM Frame_no droop_New
Plant_EDM3 GT1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 GT1.ElmComp,0,,,CENTRAL 69 kV,,Frame Synchronous Generator IEEE
Plant_EDM3 GT2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 GT2.ElmComp,0,,,CENTRAL 69 kV,,Frame Synchronous Generator IEEE
Plant_EDM3 ST,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 ST.ElmComp,0,,,CENTRAL 69 kV,,Frame Synchronous Generator IEEE
BESS 1_EDM3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 1_EDM3.ElmComp,0,,,CENTRAL 69 kV,,BESS
BESS 2_EDM3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 2_EDM3.ElmComp,0,,,CENTRAL 69 kV,,BESS
Planta_PF Martí,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Planta_PF Martí.ElmComp,0,,,CENTRAL 69 kV,,Control_Frame
Plant_PF Maranatha,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp,0,,,CENTRAL 69 kV,,Control_Frame
Planta_Quisqueya 1 G1(San Pedro),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Planta_Quisqueya 1 G1(San Pedro).ElmComp,0,,,Expansión 345 kV,,SYM Frame_no droop for identific
Planta_Quisqueya 2 G3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Planta_Quisqueya 2 G3.ElmComp,0,,,Expansión 345 kV,,SYM Frame_no droop for identific
