loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,GPSlat,GPSlon,Inom,ngnum,sgn,cosn,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,scale0,mode_inp,phtech,bustp,phiini
Monte Plata Solar,G3MPSOLA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\Monte Plata Solar.ElmGenstat,5,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm,1,ESTE CERCANO,ESTE,ESTE 69 kV,Photovoltaic,,0.0,0.0,1.7320507764816284,1,60.0,1.0,0.0,0.0,1.0499999523162842,constv,0,60.0,0.0,0.662857174873352,-0.662857174873352,60.0,1.0,DEF,0,PV,0.0
SA 1 EDM3,G7EMAR31,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SA 1 EDM3.ElmGenstat,Terminal EDM3 TG1,WEM31K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,Storage,,0.0,0.0,0.10459243506193161,1,2.5,1.0,1.000000013351432e-10,0.0,1.0,constq,0,2.5,0.0,1.0,-1.0,2.5,1.0,PC,0,PQ,0.0
SA 2 EDM3,G7EMAR32,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SA 2 EDM3.ElmGenstat,Terminal EDM3 TG2,WEM32K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,Storage,,0.0,0.0,0.10459243506193161,1,2.5,1.0,1.000000013351432e-10,0.0,1.0,constq,0,2.5,0.0,1.0,-1.0,2.5,1.0,PC,0,PQ,0.0
Mata de Palma Solar,G3PFMPAL,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Mata de Palma Solar.ElmGenstat,Terminal Mata de Palma,WMPALK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Photovoltaic,,0.0,0.0,0.8346476554870605,21,2.375,1.0,0.0,0.0,1.0,constq,0,2.375,0.0,2.0,-2.0,2.375,1.0,DEF,0,PQ,0.0
PF Martí,G3PFMART,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\PF Martí.ElmGenstat,Terminal Martí,WMARTK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Terminal Martí.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Photovoltaic,,0.0,0.0,0.7195959687232971,8,5.375,1.0,0.0,0.0,1.0,constq,0,5.375,0.0,0.662857174873352,-0.662857174873352,5.912499904632568,1.0,DEF,0,PQ,0.0
PF Maranatha,G3PFMARA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\PF Maranatha.ElmGenstat,Terminal Maranatha,WMARAK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Photovoltaic,,0.0,0.0,0.41836974024772644,2,5.0,1.0,0.0,0.0,1.0,constq,0,5.0,0.0,0.662857174873352,-0.662857174873352,5.5,1.0,DEF,0,PQ,0.0
PF Cumayasa 4,G4PFCUM4,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 4.ElmGenstat,Terminal Cumayasa 4,WXCU4K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal Cumayasa 4.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.8367395401000977,8,6.25,1.0,0.0,0.0,1.0,constq,0,6.25,0.0,0.6600000262260437,-0.6600000262260437,6.25,1.0,DEF,0,PQ,0.0
PF Cumayasa 2,G3PFCUM2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 2.ElmGenstat,Terminal PF Cumayasa 2,WXCU2K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 2.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.5020437240600586,5,6.0,1.0,0.0,0.0,1.0,constq,0,6.0,0.0,1.0,-1.0,6.0,1.0,PQ,0,PQ,0.0
PF Cumayasa 1,G3PFCUM1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 1.ElmGenstat,Terminal PF Cumayasa 1,WXCU1K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 1.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.8374089002609253,9,5.559999942779541,1.0,0.0,0.0,1.0,constq,0,5.559999942779541,0.0,0.6666666865348816,-0.6666666865348816,5.559999942779541,1.0,DEF,0,PQ,0.0
El Soco,G3ESOCO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\El Soco.ElmGenstat,Terminal Parque Solar El Soco,WXESOK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Terminal Parque Solar El Soco.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.0,0.0,0.8780744671821594,11,4.769999980926514,1.0,0.0,0.0,1.0,constq,0,4.769999980926514,0.0,1.0,-1.0,4.769999980926514,1.0,DEF,0,PQ,0.0
