loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,av_mode,plini,qlini,slini,coslini,scale0,mode_inp,phtech
Demanda Río Chavón,ZRCHAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Río Chavón.ElmLod,69 kV Río Chavón,WRCHAF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Río Chavón.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.010584010742604733,constq,1.2000000476837158,0.4000000059604645,1.2649110555648804,0.9486833214759827,1.0,DEF,3PH-'D'
Demanda Buena Vista,ZBVISF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Buena Vista.ElmLod,3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\3.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.1288081556558609,constq,14.789999961853027,4.269999980926514,15.394057273864746,0.9607603549957275,1.0,PQ,3PH-'D'
Demanda Benedicto,ZBENEF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Benedicto.ElmLod,69 kV Benedicto,WBENEF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Benedicto.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.010054809972643852,constq,1.1399999856948853,0.3799999952316284,1.2016655206680298,0.9486832618713379,1.0,PQ,3PH-'D'
Demanda Higüey 69 kV,ZHIGUF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Higüey 69 kV.ElmLod,WHIGUF(6),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(6).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.22345685958862305,constq,25.3700008392334,8.34000015258789,26.705665588378906,0.9499857425689697,1.0,PQ,3PH-'D'
Demanda 1 La Romana Pueblo,ZLRMAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda 1 La Romana Pueblo.ElmLod,WLRPUF(1),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(1).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.05855676531791687,constq,6.650000095367432,2.180000066757202,6.998207092285156,0.9502434134483337,1.0,PQ,3PH-'D'
Demanda Batey Lechuga,ZBLECF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Batey Lechuga.ElmLod,69 kV Batey Lechuga,WBLECF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Batey Lechuga.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.0011654433328658342,constq,0.12999999523162842,0.05000000074505806,0.13928388059139252,0.9333456158638,1.0,PQ,3PH-'D'
Demanda Guaymate,ZGUAYF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Guaymate.ElmLod,69 kV Guaymate,WGUAYF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Guaymate.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.009108169935643673,constq,1.0,0.4300000071525574,1.0885311365127563,0.9186691641807556,1.0,PQ,3PH-'D'
Demanda Rancho Peligro,ZRPELF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Rancho Peligro.ElmLod,69 kV Rancho Peligro,WRPELF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Rancho Peligro.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,0.0,0.0,0.0001871006388682872,constq,0.019999999552965164,0.009999999776482582,0.022360678762197495,0.8944272398948669,1.0,PQ,3PH-'D'
Demanda Consuelo,ZCSULF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Consuelo.ElmLod,69 kV Consuelo,WCSULF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Consuelo.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,,0.0,0.0,0.09610731899738312,constq,10.710000038146973,4.150000095367432,11.485930442810059,0.9324451684951782,1.0,PQ,3PH-'D'
Demanda Sabana de la Mar,ZSMARF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Sabana de la Mar.ElmLod,69 kV Sabana de la Mar,WSMARF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Sabana de la Mar.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,,0.0,0.0,0.044608812779188156,constq,4.800000190734863,2.319999933242798,5.331266403198242,0.900348961353302,1.0,DEF,3PH-'D'
Demanda Hato Mayor,ZHMAYF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Hato Mayor.ElmLod,69 kV Hato Mayor,WHMAYF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Hato Mayor.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,,0.0,0.0,0.1365019977092743,constq,15.010000228881836,6.389999866485596,16.31355857849121,0.9200935363769531,1.0,PQ,3PH-'D'
Demanda Destilería Brugal,ZXDBRF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Destilería Brugal.ElmLod,69 kV Destilería Brugal,WDBRUF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Destilería Brugal.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,,0.0,0.0,0.009286300279200077,constq,1.0099999904632568,0.46000000834465027,1.109819769859314,0.9100576639175415,1.0,PQ,3PH-'D'
Demanda ZF San Pedro AES,ZZSPAF-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda ZF San Pedro AES.ElmLod,69 kV ZF San Pedro AES,WZSPAF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV ZF San Pedro AES.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,,0.0,0.0,0.28187307715415955,constq,33.650001525878906,1.5800000429153442,33.687076568603516,0.9988994002342224,1.0,PQ,3PH-'D'
