loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,usetp
345 kV Nodo Piloto Julio Sauri,SC_JSAUD,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\345 kV Nodo Piloto Julio Sauri.ElmStactrl,0,,,Expansión 345 kV,,1.0019999742507935
230 kV Nodo Piloto Bonao 3,SC_PBLAE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Bonao 3.ElmSite\230 kV Nodo Piloto Bonao 3.ElmStactrl,0,,,Expansión 345 kV,,0.9599999785423279
138 kV Nodo SPM 2,SC_SPM2E,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\138 kV Nodo SPM 2.ElmStactrl,0,,,ESTE 138 kV,,1.0075000524520874
138 kV Nodo Piloto San Pedro de Ma(1),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138 kV Nodo Piloto San Pedro de Ma(1).ElmStactrl,0,,,ESTE 138 kV,,1.0
138 kV Nodo Piloto Monción,SC_MONCE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\138 kV Nodo Piloto Monción.ElmStactrl,0,,,NORTE 138 kV,,1.0
138 kV Nodo Piloto Pimentel,SC_PIMEE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\138 kV Nodo Piloto Pimentel.ElmStactrl,0,,,NORTE 138 kV,,0.9900000095367432
138 kV Nodo Piloto Canabacoa,SC_CANAE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\138 kV Nodo Piloto Canabacoa.ElmStactrl,0,,,NORTE 138 kV,,0.9929999709129333
138 kV Nodo Piloto Kilómetro 15 de Azua,SC_KQAZE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\km 15 de Azua.ElmSite\138 kV Nodo Piloto Kilómetro 15 de Azua.ElmStactrl,0,,,SUR 138 kV,,0.9965000152587891
138 kV Nodo Piloto Valdesia,SC_PIZAE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138 kV Nodo Piloto Valdesia.ElmStactrl,0,,,SUR 138 kV,,0.998199999332428
138 kV Nodo Piloto Itabo,SC_ITABE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\138 kV Nodo Piloto Itabo.ElmStactrl,0,,,SUR 138 kV,,0.9879000186920166
138 kV Nodo Piloto Cruce Cabral 2,SC_CC2E,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\138 kV Nodo Piloto Cruce Cabral 2.ElmStactrl,0,,,SUR 138 kV,,1.0
138 kV Nodo Piloto Boca Chica,SC_BOCE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\138 kV Nodo Piloto Boca Chica.ElmStactrl,0,,,CENTRAL 138 kV,,0.949999988079071
138 kV Nodo Piloto Los Mina,SC_LMINE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\138 kV Nodo Piloto Los Mina.ElmStactrl,0,,,CENTRAL 138 kV,,1.0299999713897705
138 kV Nodo Piloto AES Andrés,SC_AANDE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138 kV Nodo Piloto AES Andrés.ElmStactrl,0,,,CENTRAL 138 kV,,1.0082999467849731
69 kV Nodo Piloto Timbeque 2,SC_TIM2F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\69 kV Nodo Piloto Timbeque 2.ElmStactrl,0,,,CENTRAL 138 kV,,0.9599999785423279
