loc_name,for_name,ruta,outserv,iUsage,systype,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,phtech,uknom
Tap Batey Lechuga,WXBLEF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm,0,0,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,Barra 69 kV,0.0,0.0,0.0,0,69.0
WLRPUF(3),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(3).ElmTerm,0,2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,0,69.0
WLRPUF(1),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(1).ElmTerm,0,2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,0,69.0
69 kV La Romana Pueblo,WLRMAF,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm,0,0,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,Barra 69 kV,0.0,0.0,0.0,0,69.0
WLRPUF(4),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(4).ElmTerm,0,2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,0,69.0
WLRPUF(9),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(9).ElmTerm,0,2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,0,69.0
WLRPUF(8),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(8).ElmTerm,0,2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,0,69.0
WLRPUF(7),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(7).ElmTerm,0,2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,0,69.0
WLRPUF(5),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(5).ElmTerm,0,2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,0,69.0
WLRPUF(2),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(2).ElmTerm,0,2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,0,69.0
