loc_name,for_name,ruta
ESTE PROFUNDO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\ESTE PROFUNDO.ElmZone
ESTE CERCANO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\ESTE CERCANO.ElmZone
SANTO DOMINGO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\SANTO DOMINGO.ElmZone
DISTRITO NACIONAL,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\DISTRITO NACIONAL.ElmZone
SUR CERCANO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\SUR CERCANO.ElmZone
CIBAO NORTE,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\CIBAO NORTE.ElmZone
CIBAO SUR,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\CIBAO SUR.ElmZone
CIBAO NOROESTE,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\CIBAO NOROESTE.ElmZone
CIBAO NORESTE,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\CIBAO NORESTE.ElmZone
SUR MEDIO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\SUR MEDIO.ElmZone
SUR PROFUNDO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Zones.IntZone\SUR PROFUNDO.ElmZone
