loc_name,for_name,ruta
QUISQUEYA2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\QUISQUEYA2.IntQlim
LOPP2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\LOPP2.IntQlim
SG114 - 2.1MW - V3.4 - CAPABILITY,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Agua Clara\Library\SG114 - 2.1MW - V3.4 - CAPABILITY.IntQlim
Requerimiento Regulación de Tensión,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Requerimiento Regulación de Tensión.IntQlim
GAMESA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Guanillo1\Operational Library\Mvar Limits Curves\GAMESA.IntQlim
Leistungsdiagramm,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim
Leistungsdiagramm,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS60\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim
GD414141-R9 5.2 MW AM+1 0.95 QwP0,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Matafongo 1 y 2\5.2MW_plant.IntFolder\Library\Operational Library\Mvar Limit Curves\GD414141-R9 5.2 MW AM+1 0.95 QwP0.IntQlim
2MW QCONSTANT CAPABILITY,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Matafongo 1 y 2\2MW_plant\Library\5.2MW_plant.IntFolder\Library\Operational Library\Mvar Limit Curves\2MW QCONSTANT CAPABILITY.IntQlim
BESS CC,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\BESS EDM 4\User Defined Models\BESS\Operational Library\Mvar Limits Curves\BESS CC.IntQlim
BESS CC,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\BESS AES Andrés\BESS 1 EDM3\Library\User Defined Models\BESS\Operational Library\Mvar Limits Curves\BESS CC.IntQlim
