loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
EDE 1 F<,MONTE PLATA - 1F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 1 F<.RelFrq,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,1 F<
EDE 2 F<,MONTE PLATA - 2F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 2 F<.RelFrq,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,2 F<
EDE 3 F<,MONTE PLATA - 3F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 3 F<.RelFrq,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,3 F<
EDE 4 F<,MONTE PLATA - 4F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 4 F<.RelFrq,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,4 F<
EDE 5 F<,MONTE PLATA - 5F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 5 F<.RelFrq,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,5 F<
EDE 6 F<,MONTE PLATA - 6F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 6 F<.RelFrq,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,6 F<
EDE 1 F<,DESPACHO - 1F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 1 F<.RelFrq,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,1 F<
EDE 2 F<,DESPACHO - 2F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 2 F<.RelFrq,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,2 F<
EDE 3 F<,DESPACHO - 3F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 3 F<.RelFrq,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,3 F<
EDE 4 F<,DESPACHO - 4F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 4 F<.RelFrq,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,4 F<
EDE 5 F<,DESPACHO - 5F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 5 F<.RelFrq,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,5 F<
EDE 6 F<,DESPACHO - 6F,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 6 F<.RelFrq,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,6 F<
