loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata Solar OV Relay.ElmRelay\Output Logic.RelLogdip,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar UV Relay.ElmRelay\Output Logic.RelLogdip,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Output Logic.RelLogdip,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara OV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara UV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara UV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara OV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL3K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\Palamara UV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL3K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\Palamara OV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL3K,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\PALAK_TR1_DIST_50-51N.ElmRelay\Output Logic.RelLogdip,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\PALAK_TR1_DIST_50-51.ElmRelay\Output Logic.RelLogdip,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\INCA km 22 UV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\INCA km 22 OV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\INCA km 22 FR Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INCA km 22 FR Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INCA km 22 OV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INCA km 22 UV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_1.StaCubic\Maranatha FR Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_1.StaCubic\Maranatha UV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,Output Logic
Output Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_1.StaCubic\Maranatha OV Relay.ElmRelay\Output Logic.RelLogdip,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,Output Logic
