loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Block1Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Block1Logic.RelLogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Block1Logic
Block2Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Block2Logic.RelLogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Block2Logic
Block3Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Block3Logic.RelLogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Block3Logic
Block4Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Block4Logic.RelLogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Block4Logic
Block5Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Block5Logic.RelLogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Block5Logic
Block6Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Block6Logic.RelLogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Block6Logic
Block7Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Block7Logic.RelLogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Block7Logic
Block8Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Block8Logic.RelLogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Block8Logic
Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 >f.ElmRelay\Logic.RelLogic,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Logic Type
Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 <f.ElmRelay\Logic.RelLogic,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Logic Type
Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 >f.ElmRelay\Logic.RelLogic,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Logic Type
Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 <f.ElmRelay\Logic.RelLogic,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Logic Type
Block1Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block1Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block1Logic
Block2Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block2Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block2Logic
Block3Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block3Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block3Logic
Block4Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block4Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block4Logic
Block5Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block5Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block5Logic
Block6Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block6Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block6Logic
Block7Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block7Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block7Logic
Block8Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block8Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block8Logic
Block1Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block1Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block1Logic
Block2Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block2Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block2Logic
Block3Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block3Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block3Logic
Block4Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block4Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block4Logic
Block5Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block5Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block5Logic
Block6Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block6Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block6Logic
Block7Logic,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Block7Logic.RelLogic,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Block7Logic
