loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,Inom
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata Solar OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata Solar OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay\Measurement.RelMeasure,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara OV Relay.ElmRelay\Measurement.RelMeasure,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara UV Relay.ElmRelay\Measurement.RelMeasure,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,Measurement Delta,1.0
