loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
F>1 min V,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\F>1 min V.RelUlim,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F>1 min V
F>2 min V,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\F>2 min V.RelUlim,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F>2 min V
F>3 min V,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\F>3 min V.RelUlim,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F>3 min V
F>4 min V,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\F>4 min V.RelUlim,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F>4 min V
F<1 min V,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\F<1 min V.RelUlim,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F<1 min V
F<2 min V,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\F<2 min V.RelUlim,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F<2 min V
F<3 min V,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\F<3 min V.RelUlim,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F<3 min V
F<4 min V,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay\F<4 min V.RelUlim,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F<4 min V
U<,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 <f.ElmRelay\U<.RelUlim,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Undervoltage
U<,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 <f.ElmRelay\U<.RelUlim,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Undervoltage
