loc_name,for_name,ruta,cpZone,cpArea,cpGrid,cpSubstat,typ_id,on_off,aUsage
Switch,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\69 kV Monte Plata Solar.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
KPF MONTE PLATA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Monte Plata Solar.ElmTerm\Cub_3.StaCubic\KPF MONTE PLATA.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
KPF HIGUEY,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Benedicto.ElmTerm\Cub_2.StaCubic\KPF HIGUEY.StaSwitch,ESTE PROFUNDO,ESTE,ESTE 69 kV,,,1,cbk
KPF ASOC ZF SPM,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF SPM.ElmTerm\Cub_2.StaCubic\KPF ASOC ZF SPM.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
KPF ZF SPM CHENTEC,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF San Pedro AES.ElmTerm\Cub_3.StaCubic\KPF ZF SPM CHENTEC.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
KPF ZF SPM AES,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF San Pedro AES.ElmTerm\Cub_4.StaCubic\KPF ZF SPM AES.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
KPF CONSUELO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Consuelo.ElmTerm\Cub_4.StaCubic\KPF CONSUELO.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
KPF HATO MAYOR,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Hato Mayor.ElmTerm\Cub_4.StaCubic\KPF HATO MAYOR.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,cbk
KPF YAMASÁ,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Yamasá.ElmTerm\Cub_3.StaCubic\KPF YAMASÁ.StaSwitch,ESTE CERCANO,ESTE,ESTE 69 kV,,,1,dct
KPF GUERRA 1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF Buena Vista.ElmTerm\Cub_1.StaCubic\KPF GUERRA 1.StaSwitch,SANTO DOMINGO,CENTRAL,ESTE 69 kV,,,1,cbk
