loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Voltage Measurement.StaVmea,0,,,ESTE 69 kV,
ac Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 1_EDM3.ElmComp\ac Voltage Measurement.StaVmea,0,,,CENTRAL 69 kV,
ac Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 2_EDM3.ElmComp\ac Voltage Measurement.StaVmea,0,,,CENTRAL 69 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Planta_PF Martí.ElmComp\Voltage Measurement.StaVmea,0,,,CENTRAL 69 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\Voltage Measurement.StaVmea,0,,,CENTRAL 69 kV,
VM-Punta Catalina 1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 1.ElmTerm\Cub_1.StaCubic\VM-Punta Catalina 1.StaVmea,0,SUR CERCANO,SUR,Expansión 345 kV,
VM-Punta Catalina 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 2.ElmTerm\Cub_1.StaCubic\VM-Punta Catalina 2.StaVmea,0,SUR CERCANO,SUR,Expansión 345 kV,
Voltage Measurement-Quisqueya 2 G3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Voltage Measurement-Quisqueya 2 G3.StaVmea,0,,,Expansión 345 kV,
Voltage Measurement-Quisqueya G3,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Voltage Measurement-Quisqueya G3.StaVmea,0,,,Expansión 345 kV,
Voltage Measurement-Quisqueya G2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Voltage Measurement-Quisqueya G2.StaVmea,0,,,Expansión 345 kV,
