loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Voltage Transformer,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Voltage Transformer.StaVt,0,,,ESTE 69 kV,,
Voltage Transformer,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\Voltage Transformer.StaVt,0,,CENTRAL,CENTRAL 69 kV,ZEMARF,Voltage Transformer Relé Frecuencia Line
Voltage Transformer,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\Voltage Transformer.StaVt,0,,CENTRAL,CENTRAL 69 kV,ZEMARF,Voltage Transformer Relé Frecuencia Line
Voltage Transformer,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Planta_PF Martí.ElmComp\Voltage Transformer.StaVt,0,,,CENTRAL 69 kV,,
Voltage Transformer,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\Voltage Transformer.StaVt,0,,,CENTRAL 69 kV,,
ZJSA2E_ZPAL1E-L1-VT,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-VT.StaVt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,VT 138/0.115 kV
ZJSA2E_ZPAL1E-L2-VT,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-VT.StaVt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,VT 138/0.115 kV
ZJSA1E_ZITAGE-L1-VT,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-VT.StaVt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,VT 138/0.115 kV
ZJSA1E_ZITAGE-L2-VT,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E4.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-VT.StaVt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,VT 138/0.115 kV
ZJSA1E_ZPARAE-L1-VT,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZPARAE-L1-VT.StaVt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,VT 138/0.115 kV
ZJSA1E_ZITAGE-L2-VT,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-VT.StaVt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,VT 138/0.115 kV
