loc_name,for_name,ruta,uline,sline,mlei,gline,tmax,rtemp
Alumoweld,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\Alumoweld.TypCon,138.0,0.20000000298023224,Al,0.0,80.0,80.0
4/0 ACSR - 69 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\4/0 ACSR - 69 kV.TypCon,69.0,0.3569999933242798,Al,0.0,80.0,80.0
2/0 AAAC - 69 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\2/0 AAAC - 69 kV.TypCon,69.0,0.2849999964237213,Al,0.0,80.0,80.0
2/0 CU - 69 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\2/0 CU - 69 kV.TypCon,69.0,0.36000001430511475,Cu,0.0,80.0,80.0
4/0 AAAC - 69 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\4/0 AAAC - 69 kV.TypCon,69.0,0.3799999952316284,Al,0.0,80.0,80.0
559.5 AAAC - 69 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\559.5 AAAC - 69 kV.TypCon,69.0,0.6629999876022339,Al,0.0,80.0,80.0
559.5 AAAC - 138 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\559.5 AAAC - 138 kV.TypCon,138.0,0.6629999876022339,Al,0.0,80.0,80.0
4/0 CU - 69 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\4/0 CU - 69 kV.TypCon,69.0,0.47999998927116394,Cu,0.0,80.0,80.0
477 ACSR - 69 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\477 ACSR - 69 kV.TypCon,69.0,0.6589999794960022,Al,0.0,80.0,80.0
559.5 AAAC/2C - 69 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\559.5 AAAC/2C - 69 kV.TypCon,69.0,1.3259999752044678,Al,0.0,80.0,80.0
450 ACAR - 138 kV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Conductors\450 ACAR - 138 kV.TypCon,138.0,0.5680000185966492,Al,0.0,80.0,80.0
