nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,tipo,P_MW,Q_Mvar,S_MVA,cos_phi,escala,modo_entrada,aP,bP,cP,aQ,bQ,cQ
Demanda Río Chavón,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Río Chavón.ElmLod,69 kV Río Chavón,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Río Chavón.ElmTerm,,0.8199999928474426,0.27000001072883606,0.8633075952529907,0.9498352408409119,1.0,DEF,,,,,,
Demanda Buena Vista,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Buena Vista.ElmLod,3,ZBVISF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\3.ElmTerm,,7.489999771118164,2.6700000762939453,7.951666355133057,0.9419409036636353,1.0,PQ,,,,,,
Demanda Benedicto,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Benedicto.ElmLod,69 kV Benedicto,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Benedicto.ElmTerm,,0.7300000190734863,0.23999999463558197,0.7684400081634521,0.9499765634536743,1.0,PQ,,,,,,
Demanda Higüey 69 kV,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Higüey 69 kV.ElmLod,WHIGUF(6),ZHIGUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(6).ElmTerm,,14.699999809265137,4.829999923706055,15.473167419433594,0.9500316977500916,1.0,PQ,,,,,,
Demanda 1 La Romana Pueblo,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda 1 La Romana Pueblo.ElmLod,WLRPUF(1),ZLRPUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(1).ElmTerm,,4.769999980926514,1.5700000524520874,5.021732807159424,0.949871301651001,1.0,PQ,,,,,,
Demanda Batey Lechuga,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Batey Lechuga.ElmLod,69 kV Batey Lechuga,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Batey Lechuga.ElmTerm,,0.10000000149011612,0.03999999910593033,0.107703298330307,0.9284766912460327,1.0,PQ,,,,,,
Demanda Guaymate,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Guaymate.ElmLod,69 kV Guaymate,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Guaymate.ElmTerm,,0.6100000143051147,0.25999999046325684,0.6630988121032715,0.9199232459068298,1.0,PQ,,,,,,
Demanda Rancho Peligro,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Rancho Peligro.ElmLod,69 kV Rancho Peligro,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Rancho Peligro.ElmTerm,,0.009999999776482582,0.0,0.009999999776482582,1.0,1.0,PQ,,,,,,
Demanda Consuelo,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Consuelo.ElmLod,69 kV Consuelo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Consuelo.ElmTerm,,6.309999942779541,2.490000009536743,6.783524036407471,0.9301949739456177,1.0,PQ,,,,,,
Demanda Sabana de la Mar,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Sabana de la Mar.ElmLod,69 kV Sabana de la Mar,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Sabana de la Mar.ElmTerm,,2.690000057220459,1.2999999523162842,2.9876580238342285,0.9003707766532898,1.0,DEF,,,,,,
