nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,num_paralelos,S_nom_MVA,cos_phi,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,categoria,P_max_MW,P_min_MW,Q_max_Mvar,Q_min_Mvar
Monte Plata Solar,1,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\Monte Plata Solar.ElmGenstat,5,ZMPSOK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm,1,60.0,1.0,0.0,0.0,1.0,constq,Photovoltaic,60.0,0.0,0.662857174873352,-0.662857174873352
SA 1 EDM3,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SA 1 EDM3.ElmGenstat,Terminal EDM3 TG1,EDM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm,1,2.5,1.0,1.000000013351432e-10,0.0,1.0,constq,Storage,2.5,0.0,1.0,-1.0
SA 2 EDM3,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SA 2 EDM3.ElmGenstat,Terminal EDM3 TG2,EDM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm,1,2.5,1.0,1.000000013351432e-10,0.0,1.0,constq,Storage,2.5,0.0,1.0,-1.0
Mata de Palma Solar,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Mata de Palma Solar.ElmGenstat,Terminal Mata de Palma_,Mata de Palma,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma_.ElmTerm,21,2.375,1.0,0.0,0.0,1.0,constq,Photovoltaic,2.375,0.0,2.0,-2.0
PF Maranatha,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\PF Maranatha.ElmGenstat,Terminal Maranatha,Maranatha,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm,2,5.0,1.0,0.0,0.0,1.0,constq,Photovoltaic,5.0,0.0,0.662857174873352,-0.662857174873352
El Soco,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\El Soco.ElmGenstat,Terminal Parque Solar El Soco,El Soco,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Terminal Parque Solar El Soco.ElmTerm,11,4.769999980926514,1.0,0.0,0.0,1.0,constq,Photovoltaic,4.769999980926514,0.0,1.0,-1.0
PF Cumayasa 2,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 2.ElmGenstat,Terminal PF Cumayasa 2,Cumayasa,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 2.ElmTerm,5,6.0,1.0,0.0,0.0,1.0,constq,Photovoltaic,6.0,0.0,1.0,-1.0
PF Cumayasa 1,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 1.ElmGenstat,Terminal PF Cumayasa 1,Cumayasa,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 1.ElmTerm,9,5.559999942779541,1.0,0.0,0.0,1.0,constq,Photovoltaic,5.559999942779541,0.0,0.6666666865348816,-0.6666666865348816
Parque Fotovoltaico SAJOMA,1,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Parque Fotovoltaico SAJOMA.ElmGenstat,Terminal PF SAJOMA,SAJOMA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Terminal PF SAJOMA.ElmTerm,9,7.599999904632568,1.0,0.0,0.0,1.0,constq,Photovoltaic,7.599999904632568,0.0,0.662857174873352,-0.662857174873352
Monte Cristi Solar Grupo 2,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 2.ElmGenstat,R3,ZPFMSK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\R3.ElmTerm,12,2.200000047683716,1.0,0.0,0.0,1.0,constq,Photovoltaic,2.200000047683716,0.0,1.0,-1.0
Monte Cristi Solar Grupo 1,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 1.ElmGenstat,L3,ZPFMSK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\L3.ElmTerm,11,2.200000047683716,1.0,0.0,0.0,1.0,constq,Photovoltaic,2.200000047683716,0.0,1.0,-1.0
Agua Clara,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Agua Clara.ElmGenstat,Terminal Agua Clara,Agua Clara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Terminal Agua Clara.ElmTerm,25,2.0999999046325684,1.0,0.5483999848365784,0.0,1.0,constq,Wind,2.2100000381469727,0.0,1.0,-1.0
