nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,tipo,num_paralelos,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,P_max_MW,P_min_MW,Q_max_Mvar,Q_min_Mvar,S_nom_MVA,U_nom_kV,cos_phi,xd_pu,xq_pu,xl_pu,rstr_pu,xd_t_pu,xd_st_pu,xq_st_pu,Td0_s,Td0_st_s,Tq0_st_s,H_s,turbo
Palamara Grupo 3,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 3.ElmSym,1,ZPAL3K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\1.ElmTerm,Palamara Motor,4,1.000000013351432e-10,0.0,0.9900000095367432,constv,10.766400337219238,0.0,1.0,-1.0,13.458000183105469,13.800000190734863,0.800000011920929,1.690000057220459,0.8799999952316284,0.133,0.004000000189989805,0.31700000166893005,0.21199999749660492,0.2619999945163727,5.400000095367432,0.03599999472498894,0.14900000393390656,1.1792482137680054,0
Palamara Grupo 2,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 2.ElmSym,R1,ZPAL1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm,Palamara Motor,2,1.000000013351432e-10,0.0,1.0,constv,10.766400337219238,0.0,1.0,-1.0,13.458000183105469,13.800000190734863,0.800000011920929,1.690000057220459,0.8799999952316284,0.133,0.004000000189989805,0.31700000166893005,0.21199999749660492,0.2619999945163727,5.400000095367432,0.03599999472498894,0.14900000393390656,1.1792482137680054,0
Palamara Grupo 1,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 1.ElmSym,L2,ZPAL1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm,Palamara Motor,4,1.000000013351432e-10,0.0,0.9900000095367432,constv,10.766400337219238,0.0,1.0,-1.0,13.458000183105469,13.800000190734863,0.800000011920929,1.690000057220459,0.8799999952316284,0.133,0.004000000189989805,0.31700000166893005,0.21199999749660492,0.2619999945163727,5.400000095367432,0.03599999472498894,0.14900000393390656,1.1792482137680054,0
INCA km 22 Grupo 1,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\INCA km 22 Grupo 1.ElmSym,L1,ZINCAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L1.ElmTerm,INCA G6 Y G7,2,1.000000013351432e-10,0.0,1.0,constq,4.331200122833252,0.0,1.0,-1.0,5.414000034332275,12.470000267028809,0.800000011920929,1.8200000524520874,1.090000033378601,0.1,0.006000000052154064,0.33500000834465027,0.2150000035762787,0.2680000066757202,2.3904478549957275,0.03427907079458237,0.07266666740179062,1.3177945613861084,0
INCA km 22 Grupo 2,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\INCA km 22 Grupo 2.ElmSym,L2,ZINCAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L2.ElmTerm,INCA_G5,1,1.000000013351432e-10,0.0,1.0,constq,6.079999923706055,0.0,1.0,-1.0,7.605000019073486,12.470000267028809,0.800000011920929,1.4500000476837158,0.8500000238418579,0.0,0.001500000013038516,0.27799999713897705,0.1754000037908554,0.20000000298023224,2.180215835571289,0.03645382076501846,0.21250000596046448,0.4786418378353119,0
EDM3 TG1,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TG1.ElmSym,Terminal EDM3 TG1,EDM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm,Estrella del Mar 3 TG,1,49.66667175292969,0.0,1.0,constv,50.959999084472656,0.0,1.0,-1.0,63.70000076293945,13.800000190734863,0.800000011920929,1.8899999856948853,1.2350000143051147,0.177,0.0020000000949949026,0.44200000166893005,0.25200000405311584,0.2460000067949295,2.779411792755127,0.022801587358117104,0.05020324885845184,5.010000228881836,0
EDM3 TG2,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TG2.ElmSym,Terminal EDM3 TG2,EDM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm,Estrella del Mar 3 TG,1,49.66667175292969,0.0,1.0,constv,50.959999084472656,0.0,1.0,-1.0,63.70000076293945,13.800000190734863,0.800000011920929,1.8899999856948853,1.2350000143051147,0.177,0.0020000000949949026,0.44200000166893005,0.25200000405311584,0.2460000067949295,2.779411792755127,0.022801587358117104,0.05020324885845184,5.010000228881836,0
EDM3 TV,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TV.ElmSym,Terminal EDM3 TV,EDM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TV.ElmTerm,Estrella del Mar 3 TV,1,49.66667175292969,0.0,1.0,constv,48.327999114990234,0.0,1.0,-1.0,60.40999984741211,13.800000190734863,0.800000011920929,2.009999990463257,1.909999966621399,0.143,0.0010000000474974513,0.25,0.1770000010728836,0.1940000057220459,5.716440200805664,0.04096044972538948,0.17067012190818787,4.331080913543701,1
Quisqueya 1 San Pedro,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 San Pedro.ElmSym,E1,TER QUISQUEYA1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E1.ElmTerm,Quisqueya 1 Motor,4,15.100000381469727,0.0,1.0490000247955322,constv,17.076000213623047,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.4450000524520874,0
Quisqueya 1 Grupo 2,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 Grupo 2.ElmSym,E15,TER QUISQUEYA1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E15.ElmTerm,Quisqueya 1 Motor,4,17.076000213623047,0.0,1.0,constv,17.076000213623047,0.0,1.0,-1.0,21.344999313354492,13.800000190734863,0.800000011920929,1.8309999704360962,1.0119999647140503,0.189,0.004000000189989805,0.3930000066757202,0.21899999678134918,0.24699999392032623,7.830999851226807,0.04185999929904938,0.15220001339912415,1.4450000524520874,0
