nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Los Toros 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Toros 1.ElmBmu,1,,,,
Los Toros 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Toros 2.ElmBmu,1,,,,
Sabana Yegua,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Sabana Yegua.ElmBmu,1,,,,
Pinalito 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Pinalito 2.ElmBmu,1,,,,
Río Blanco 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Río Blanco 2.ElmBmu,1,,,,
Pinalito 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Pinalito 1.ElmBmu,1,,,,
Río Blanco 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Río Blanco 1.ElmBmu,1,,,,
Las Damas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Las Damas.ElmBmu,1,,,,
Rincón,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Rincón.ElmBmu,1,,,,
La Vega,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\La Vega.ElmBmu,1,,,,
Jimenoa,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Jimenoa.ElmBmu,1,,,,
Aniana Vargas 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Aniana Vargas 1.ElmBmu,1,,,,
Aniana Vargas 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Aniana Vargas 2.ElmBmu,1,,,,
Sultana del Este,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Sultana del Este.ElmBmu,1,,,,
CESPM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\CESPM 3.ElmBmu,1,,,,
CESPM 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\CESPM 2.ElmBmu,1,,,,
CESPM 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\CESPM 1.ElmBmu,1,,,,
Contra Embalse Monción 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Contra Embalse Monción 2.ElmBmu,1,,,,
