nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
P_Control,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\P_Control.ElmDsl,0,,,ESTE 69 kV,,P_Control
Pf_Control,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Pf_Control.ElmDsl,0,,,ESTE 69 kV,,Pf_Reduction
Q_Control,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Q_Control.ElmDsl,0,,,ESTE 69 kV,,ReactPow_Control
Idq_Control,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Idq_Control.ElmDsl,0,,,ESTE 69 kV,,Current_Control
Protection,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Protection.ElmDsl,0,,,ESTE 69 kV,,Protection
avr_Palamara 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 1.ElmComp\avr_Palamara 1.ElmDsl,0,,,CENTRAL 69 kV,,avr_ESAC8B
gov_Palamara 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 1.ElmComp\gov_Palamara 1.ElmDsl,0,,,CENTRAL 69 kV,,gov_DEGOV1
avr_Palamara 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 2.ElmComp\avr_Palamara 2.ElmDsl,0,,,CENTRAL 69 kV,,avr_ESAC8B
gov_Palamara 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 2.ElmComp\gov_Palamara 2.ElmDsl,0,,,CENTRAL 69 kV,,gov_DEGOV1
avr_Palamara 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 3.ElmComp\avr_Palamara 3.ElmDsl,0,,,CENTRAL 69 kV,,avr_ESAC8B
gov_Palamara 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Planta_Palamara 3.ElmComp\gov_Palamara 3.ElmDsl,0,,,CENTRAL 69 kV,,gov_DEGOV1
avr_INCA km 22 G1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\Plant_INCA km 22 G1.ElmComp\avr_INCA km 22 G1.ElmDsl,1,,,CENTRAL 69 kV,,vco_EXAC1
gov_INCA km 22 G1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\Plant_INCA km 22 G1.ElmComp\gov_INCA km 22 G1.ElmDsl,0,,,CENTRAL 69 kV,,gov_DEGOV1
avr_INCA km 22 G2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\Plant_INCA km 22 G2.ElmComp\avr_INCA km 22 G2.ElmDsl,1,,,CENTRAL 69 kV,,vco_EXAC1
gov_INCA km 22 G2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\Plant_INCA km 22 G2.ElmComp\gov_INCA km 22 G2.ElmDsl,0,,,CENTRAL 69 kV,,gov_DEGOV1
avr_EDM3 GT1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 GT1.ElmComp\avr_EDM3 GT1.ElmDsl,0,,,CENTRAL 69 kV,,exc_IEEE_ST6B
gov_EDM3 GT1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Plant_EDM3 GT1.ElmComp\gov_EDM3 GT1.ElmDsl,0,,,CENTRAL 69 kV,,gov_IEEE_GGOV1
