nombre,ruta,barra(bus1),barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,Inom,ngnum,sgn,cosn,pgini,qgini,usetp,av_mode,Pmax_uc,Pmin_uc,q_max,q_min,P_max,scale0,mode_inp,phtech
Monte Plata Solar,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\Monte Plata Solar.ElmGenstat,5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm,1,ESTE CERCANO,ESTE,ESTE 69 kV,Photovoltaic,,1.7320507764816284,1,60.0,1.0,0.0,0.0,1.0,constq,60.0,0.0,0.662857174873352,-0.662857174873352,60.0,1.0,DEF,0
SA 1 EDM3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SA 1 EDM3.ElmGenstat,Terminal EDM3 TG1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,Storage,,0.10459243506193161,1,2.5,1.0,1.000000013351432e-10,0.0,1.0,constq,2.5,0.0,1.0,-1.0,2.5,1.0,PC,0
SA 2 EDM3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SA 2 EDM3.ElmGenstat,Terminal EDM3 TG2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,Storage,,0.10459243506193161,1,2.5,1.0,1.000000013351432e-10,0.0,1.0,constq,2.5,0.0,1.0,-1.0,2.5,1.0,PC,0
Mata de Palma Solar,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Mata de Palma Solar.ElmGenstat,Terminal Mata de Palma_,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma_.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Photovoltaic,,0.8346476554870605,21,2.375,1.0,0.0,0.0,1.0,constq,2.375,0.0,2.0,-2.0,2.375,1.0,DEF,0
PF Maranatha,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\PF Maranatha.ElmGenstat,Terminal Maranatha,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Photovoltaic,,0.41836974024772644,2,5.0,1.0,0.0,0.0,1.0,constq,5.0,0.0,0.662857174873352,-0.662857174873352,5.5,1.0,DEF,0
El Soco,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\El Soco.ElmGenstat,Terminal Parque Solar El Soco,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Terminal Parque Solar El Soco.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.8780744671821594,11,4.769999980926514,1.0,0.0,0.0,1.0,constq,4.769999980926514,0.0,1.0,-1.0,4.769999980926514,1.0,DEF,0
PF Cumayasa 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 2.ElmGenstat,Terminal PF Cumayasa 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 2.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.5020437240600586,5,6.0,1.0,0.0,0.0,1.0,constq,6.0,0.0,1.0,-1.0,6.0,1.0,PQ,0
PF Cumayasa 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 1.ElmGenstat,Terminal PF Cumayasa 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 1.ElmTerm,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,Photovoltaic,,0.8374089002609253,9,5.559999942779541,1.0,0.0,0.0,1.0,constq,5.559999942779541,0.0,0.6666666865348816,-0.6666666865348816,5.559999942779541,1.0,DEF,0
Parque Fotovoltaico SAJOMA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Parque Fotovoltaico SAJOMA.ElmGenstat,Terminal PF SAJOMA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Terminal PF SAJOMA.ElmTerm,1,CIBAO NORTE,NORTE,NORTE 138 kV,Photovoltaic,,1.1446596384048462,9,7.599999904632568,1.0,0.0,0.0,1.0,constq,7.599999904632568,0.0,0.662857174873352,-0.662857174873352,7.600000381469727,1.0,DEF,0
Monte Cristi Solar Grupo 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 2.ElmGenstat,R3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\R3.ElmTerm,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,Photovoltaic,,0.7621024250984192,12,2.200000047683716,1.0,0.0,0.0,1.0,constq,2.200000047683716,0.0,1.0,-1.0,2.200000047683716,1.0,DEF,0
Monte Cristi Solar Grupo 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 1.ElmGenstat,L3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\L3.ElmTerm,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,Photovoltaic,,0.6985938549041748,11,2.200000047683716,1.0,0.0,0.0,1.0,constq,2.200000047683716,0.0,1.0,-1.0,2.200000047683716,1.0,DEF,0
Agua Clara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Agua Clara.ElmGenstat,Terminal Agua Clara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Terminal Agua Clara.ElmTerm,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,Wind,,0.8785764575004578,25,2.0999999046325684,1.0,0.5483999848365784,0.0,1.0,constq,2.2100000381469727,0.0,1.0,-1.0,2.0999999046325684,1.0,PQ,0
Guanillo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Guanillo.ElmGenstat,Terminal Guanillo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Terminal Guanillo.ElmTerm,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,Wind,,0.9245971441268921,25,2.2100000381469727,0.949999988079071,0.5591999888420105,0.0,1.0,constq,2.2100000381469727,0.0,1.0,-1.0,2.0994999408721924,1.0,DEF,0
Los Guzmancito,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito.ElmGenstat,Terminal Los Guzmancito,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito.ElmTerm,0,CIBAO NORTE,NORTE,NORTE 138 kV,Wind,,0.8534743189811707,17,3.0,1.0,0.8399999737739563,1.0,1.0,constq,3.5,0.0,1.0,-1.0,3.0,1.0,DEF,0
Los Guzmancito 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Los Guzmancito 2.ElmGenstat,Terminal Los Guzmancito 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Terminal Los Guzmancito 2.ElmTerm,0,CIBAO NORTE,NORTE,NORTE 138 kV,Wind,,0.7831881642341614,13,3.5999999046325684,1.0,0.7930799722671509,0.0,1.0,constq,4.0,0.0,0.514285683631897,-0.514285683631897,3.5999999046325684,1.0,DEF,0
Parque Fotovoltaico MATRISOL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Parque Fotovoltaico MATRISOL.ElmGenstat,Terminal MATRISOL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\Terminal MATRISOL.ElmTerm,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,Photovoltaic,,0.8375763297080994,11,4.550000190734863,1.0,1.000000013351432e-10,0.0,1.0,constq,4.550000190734863,0.0,1.0,-1.0,4.550000190734863,1.0,PC,0
PS Esperanza,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\PS Esperanza.ElmGenstat,Terminal 1 Parque Solar Esperanza,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\Terminal 1 Parque Solar Esperanza.ElmTerm,1,CIBAO NORTE,NORTE,NORTE 138 kV,Photovoltaic,,1.3223830461502075,18,4.389999866485596,0.9599999785423279,0.0,0.0,1.0,constq,4.389999866485596,0.0,1.837129831314087,-1.837129831314087,4.214399814605713,1.0,PQ,0
Solar Canoa,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Solar Canoa.ElmGenstat,Terminal Canoa Solar,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Terminal Canoa Solar.ElmTerm,1,SUR PROFUNDO,SUR,SUR 69 kV,Photovoltaic,,0.4859783351421356,8,3.630000114440918,1.0,0.0,0.0,1.0,constq,3.630000114440918,0.0,1.0,-1.0,3.630000114440918,1.0,PQ,0
Los Cocos 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Los Cocos 2.ElmGenstat,R2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\R2.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.8702090978622437,26,2.0,1.0,0.18692000210285187,3.7975775302179215e-11,1.0,constq,2.0,0.0,1.0,-1.0,2.0,1.0,DEF,0
Quilvio Cabrera,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Quilvio Cabrera.ElmGenstat,L3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\ZLCOCK.ElmSubstat\L3.ElmTerm,0,SUR PROFUNDO,SUR,SUR 138 kV,Wind,,0.1380620151758194,5,1.649999976158142,1.0,0.25999999046325684,5.007656442290731e-11,1.0,constq,1.649999976158142,0.0,1.0,-1.0,1.649999976158142,1.0,DEF,0
