nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
PhaseMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\PhaseMeas.ElmPhi__pll,0,,,ESTE 69 kV,
FreqMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\FreqMeas.ElmPhi__pll,0,,,ESTE 69 kV,
PLL_bess,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 1_EDM3.ElmComp\PLL_bess.ElmPhi__pll,0,,,CENTRAL 69 kV,
PLL_bess,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 2_EDM3.ElmComp\PLL_bess.ElmPhi__pll,0,,,CENTRAL 69 kV,
PhaseMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\PhaseMeas.ElmPhi__pll,0,,,CENTRAL 69 kV,
FreqMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\FreqMeas.ElmPhi__pll,0,,,CENTRAL 69 kV,
PLL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Planta_PF Cumayasa 1.ElmComp\PLL.ElmPhi__pll,0,,,ESTE 138 kV,
PLL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Planta_ PF Cumayasa 2.ElmComp\PLL.ElmPhi__pll,0,,,ESTE 138 kV,
PhaseMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Planta_SAJOMA.ElmComp\PhaseMeas.ElmPhi__pll,0,,,NORTE 138 kV,
FreqMeas,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Planta_SAJOMA.ElmComp\FreqMeas.ElmPhi__pll,0,,,NORTE 138 kV,
