nombre,ruta,barra(bus1),barra(bus1)_id,outserv,systp,cpZone,cpArea,cpGrid,cpSubstat,mode_inp,phtech,qtotn,ushnm,ncapx,ncapa,shtype,ccap,rlrea
69 kV Capacitor La Romana Pueblo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Capacitor La Romana Pueblo.ElmShnt,Tap Capacitor 69 kV La Romana Pueblo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Capacitor 69 kV La Romana Pueblo.ElmTerm,0,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,DEF,1,15.600000381469727,69.0,1,1,2,8.691511154174805,4.774649143218994
69 kV Capacitor Higüey,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Capacitor Higüey.ElmShnt,1(3),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\1(3).ElmTerm,1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,DEF,1,17.0,69.0,1,1,2,9.471518516540527,8.324999809265137
69 kV Capacitor Madre Vieja(San Rafael),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Capacitor Madre Vieja(San Rafael).ElmShnt,69 kV San Rafael(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV San Rafael(1).ElmTerm,1,0,SUR CERCANO,SUR,CENTRAL 69 kV,,DEF,1,20.0,69.0,1,1,2,11.142962455749512,4.774649143218994
34.5 kV Capacitor 1 PVDC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV Capacitor 1 PVDC.ElmShnt,Terminal PVDC 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 1.ElmTerm,0,0,CIBAO SUR,NORTE,Expansión 345 kV,,DEF,1,10.0,34.5,3,1,2,22.285924911499023,4.774649143218994
34.5 kV Capacitor 2 PVDC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV Capacitor 2 PVDC.ElmShnt,Terminal PVDC 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Terminal PVDC 2.ElmTerm,0,0,CIBAO SUR,NORTE,Expansión 345 kV,,DEF,1,10.0,34.5,3,1,2,22.285924911499023,4.774649143218994
69 kV Capacitor SPM,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\69 kV Capacitor SPM.ElmShnt,3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAF.ElmSubstat\3.ElmTerm,0,0,ESTE CERCANO,ESTE,ESTE 138 kV,,DEF,1,20.0,69.0,1,1,2,11.142963409423828,4.774649143218994
69 kV Capacitor 2 ZF Santiago,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\69 kV Capacitor 2 ZF Santiago.ElmShnt,4,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\ZZSANF.ElmSubstat\4.ElmTerm,0,0,CIBAO NORTE,NORTE,NORTE 138 kV,,DEF,1,20.0,69.0,1,1,2,11.142959594726562,4.774649143218994
69 kV Capacitor 1 ZF Santiago,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\69 kV Capacitor 1 ZF Santiago.ElmShnt,5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\ZZSANF.ElmSubstat\5.ElmTerm,0,0,CIBAO NORTE,NORTE,NORTE 138 kV,,DEF,1,9.600000381469727,69.0,1,1,2,5.348621845245361,4.774649143218994
69 kV Capacitor 2 Canabacoa,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\69 kV Capacitor 2 Canabacoa.ElmShnt,L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\ZCANAF.ElmSubstat\L1.ElmTerm,0,0,CIBAO NORTE,NORTE,NORTE 138 kV,,DEF,1,20.0,69.0,1,1,2,11.142959594726562,4.774649143218994
69 kV Capacitor 1 Canabacoa,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\69 kV Capacitor 1 Canabacoa.ElmShnt,R1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\ZCANAF.ElmSubstat\R1.ElmTerm,0,0,CIBAO NORTE,NORTE,NORTE 138 kV,,DEF,1,15.600000381469727,69.0,1,1,2,8.691511154174805,4.774649143218994
