nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,usetp
345 kV Nodo Piloto Julio Sauri,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\345 kV Nodo Piloto Julio Sauri.ElmStactrl,0,,,Expansión 345 kV,,1.0
230 kV Nodo Piloto Bonao 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Bonao 3.ElmSite\230 kV Nodo Piloto Bonao 3.ElmStactrl,0,,,Expansión 345 kV,,0.9779999852180481
138 kV Nodo SPM 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\138 kV Nodo SPM 2.ElmStactrl,0,,,ESTE 138 kV,,1.0069999694824219
138 kV Nodo Piloto Monción,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\138 kV Nodo Piloto Monción.ElmStactrl,0,,,NORTE 138 kV,,1.0
138 kV Nodo Piloto Pimentel,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\138 kV Nodo Piloto Pimentel.ElmStactrl,0,,,NORTE 138 kV,,0.9900000095367432
138 kV Nodo Piloto Canabacoa,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\138 kV Nodo Piloto Canabacoa.ElmStactrl,0,,,NORTE 138 kV,,0.9934999942779541
138 kV Nodo Piloto Kilómetro 15 de Azua,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\km 15 de Azua.ElmSite\138 kV Nodo Piloto Kilómetro 15 de Azua.ElmStactrl,0,,,SUR 138 kV,,0.9988999962806702
138 kV Nodo Piloto Valdesia,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138 kV Nodo Piloto Valdesia.ElmStactrl,0,,,SUR 138 kV,,1.0
138 kV Nodo Piloto Itabo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\138 kV Nodo Piloto Itabo.ElmStactrl,0,,,SUR 138 kV,,0.9894999861717224
138 kV Nodo Piloto Cruce Cabral 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\138 kV Nodo Piloto Cruce Cabral 2.ElmStactrl,0,,,SUR 138 kV,,1.0
138 kV Nodo Piloto Boca Chica,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\138 kV Nodo Piloto Boca Chica.ElmStactrl,0,,,CENTRAL 138 kV,,0.9745000004768372
138 kV Nodo Piloto AES Andrés,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138 kV Nodo Piloto AES Andrés.ElmStactrl,0,,,CENTRAL 138 kV,,1.0099999904632568
69 kV Nodo Piloto Timbeque 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\69 kV Nodo Piloto Timbeque 2.ElmStactrl,0,,,CENTRAL 138 kV,,0.9835000038146973
138 kV Nodo Piloto Los Mina,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\138 kV Nodo Piloto Los Mina.ElmStactrl,0,,,CENTRAL 138 kV,,1.0099999904632568
