nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
U1<,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U1<.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,U1<
U2<,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U2<.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,U2<
U1>,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U1>.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,U1>
U2>,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U2>.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,U2>
U1N>,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U1N>.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,U1N>
U2N>,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U2N>.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,U2N>
U1<,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U1<.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,U1<
U2<,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U2<.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,U2<
U1>,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U1>.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,U1>
U2>,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\PTUV 27 PTOV 59.ElmRelay\U2>.RelChar,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,U2>
