nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
LT6CPDIF Adapter 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 1.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,LT6CPDIF Adapter 1
LT6CPDIF Adapter 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 2.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,LT6CPDIF Adapter 2
LT6CPDIF Adapter 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 3.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,LT6CPDIF Adapter 3
LT6CPDIF Adapter 4,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 4.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,LT6CPDIF Adapter 4
LT6CPDIF Adapter 5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 5.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,LT6CPDIF Adapter 5
LT6CPDIF Adapter 6,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 6.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,LT6CPDIF Adapter 6
LT6CPDIF Adapter 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 1.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,,LT6CPDIF Adapter 1
LT6CPDIF Adapter 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 2.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,,LT6CPDIF Adapter 2
LT6CPDIF Adapter 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 3.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,,LT6CPDIF Adapter 3
LT6CPDIF Adapter 4,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 4.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,,LT6CPDIF Adapter 4
LT6CPDIF Adapter 5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 5.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,,LT6CPDIF Adapter 5
LT6CPDIF Adapter 6,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\PDIF 87.ElmRelay\LT6CPDIF Adapter 6.RelCtadapt,1,ESTE CERCANO,ESTE,ESTE 138 kV,,LT6CPDIF Adapter 6
Terminal W Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Terminal W Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Terminal W Adapter
Terminal X Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Terminal X Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Terminal X Adapter
Remote Relay 1 Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 1 Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 1 Adapter
Remote Relay 2 Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 2 Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 2 Adapter
Remote Relay 3 Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 3 Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 3 Adapter
Terminal W IG Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Terminal W IG Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Terminal W IG Adapter
Terminal X IG Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Terminal X IG Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Terminal X IG Adapter
Remote Relay 1 IG Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 1 IG Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 1 IG Adapter
Remote Relay 2 IG Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 2 IG Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 2 IG Adapter
Remote Relay 3 IG Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 3 IG Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 3 IG Adapter
Terminal W IQ Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Terminal W IQ Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Terminal W IQ Adapter
Terminal X IQ Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Terminal X IQ Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Terminal X IQ Adapter
Remote Relay 1 IQ Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 1 IQ Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 1 IQ Adapter
Remote Relay 2 IQ Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 2 IQ Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 2 IQ Adapter
Remote Relay 3 IQ Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\ZITABE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITABE_ZITAGE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Remote Relay 3 IQ Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITABE,Remote Relay 3 IQ Adapter
Terminal W Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo TG.ElmSite\ZITAGE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITAGE_ZITABE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Terminal W Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITAGE,Terminal W Adapter
Terminal X Adapter,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo TG.ElmSite\ZITAGE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZITAGE_ZITABE-L1-SEL 411L.ElmRelay\Differential.ElmRelay\Terminal X Adapter.RelCtadapt,1,SUR CERCANO,SUR,SUR 138 kV,ZITAGE,Terminal X Adapter
