nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\Measurement.RelFmeas,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\Measurement.RelFmeas,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay\Measurement.RelFmeas,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 >f.ElmRelay\Measurement.RelFmeas,0,,CENTRAL,CENTRAL 69 kV,ZEMARF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 <f.ElmRelay\Measurement.RelFmeas,0,,CENTRAL,CENTRAL 69 kV,ZEMARF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 >f.ElmRelay\Measurement.RelFmeas,0,,CENTRAL,CENTRAL 69 kV,ZEMARF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 <f.ElmRelay\Measurement.RelFmeas,0,,CENTRAL,CENTRAL 69 kV,ZEMARF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay\Measurement.RelFmeas,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZCAPOF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INVIVIENDA B.ElmRelay\Measurement.RelFmeas,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINVIF,Measurement
Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\INVIVIENDA.ElmRelay\Measurement.RelFmeas,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINVIF,Measurement
