nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
EDE 1 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 1 Logic.RelLslogic,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,1 Logic
EDE 2 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 2 Logic.RelLslogic,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,2 Logic
EDE 3 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 3 Logic.RelLslogic,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,3 Logic
EDE 4 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 4 Logic.RelLslogic,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,4 Logic
EDE 5 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 5 Logic.RelLslogic,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,5 Logic
EDE 6 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay\EDE 6 Logic.RelLslogic,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,6 Logic
EDE 1 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 1 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,1 Logic
EDE 2 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 2 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,2 Logic
EDE 3 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 3 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,3 Logic
EDE 4 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 4 Logic.RelLslogic,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,4 Logic
EDE 5 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 5 Logic.RelLslogic,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,5 Logic
EDE 6 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay\EDE 6 Logic.RelLslogic,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,6 Logic
EDE 0 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay\EDE 0 Logic.RelLslogic,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,0 Logic
EDE 1 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay\EDE 1 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,1 Logic
EDE 2 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay\EDE 2 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,2 Logic
EDE 3 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay\EDE 3 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,3 Logic
EDE 4 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay\EDE 4 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,4 Logic
EDE 5 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay\EDE 5 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,5 Logic
EDE 6 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay\EDE 6 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,6 Logic
EDE 1 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay\EDE 1 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZCAPOF,1 Logic
EDE 2 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay\EDE 2 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZCAPOF,2 Logic
EDE 3 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay\EDE 3 Logic.RelLslogic,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZCAPOF,3 Logic
EDE 4 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay\EDE 4 Logic.RelLslogic,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZCAPOF,4 Logic
EDE 5 Logic,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay\EDE 5 Logic.RelLslogic,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZCAPOF,5 Logic
