nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Sel Dir.RelSeldir,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-SEL 311L.ElmRelay\Sel Dir.RelSeldir,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\ZPVDCD_ZPBLAD-L1-SEL 311L.ElmRelay\Sel Dir.RelSeldir,0,CIBAO SUR,NORTE,Expansión 345 kV,ZPVDCD,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\ZPVDCD_ZQU11D-L1-SEL 311L.ElmRelay\Sel Dir.RelSeldir,0,CIBAO SUR,NORTE,Expansión 345 kV,ZPVDCD,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\ZSESTE.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZSESTE_ZSPBEE-L1-SEL 311L.ElmRelay\Sel Dir.RelSeldir,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSESTE,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\ZSESTE.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZSESTE_ZSPBEE-L1-SEL 421.ElmRelay\Sel Dir.RelSeldir,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSESTE,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-SEL 311C.ElmRelay\Sel Dir.RelSeldir,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E2.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZSPM2E-L1-SEL 311C.ElmRelay\Sel Dir.RelSeldir,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\ZSPBEE.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\ZSPBEE_ZSESTE-L1-SEL 311L.ElmRelay\Sel Dir.RelSeldir,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPBEE,Sel Dir
Sel Dir,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\ZSPBEE.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\ZSPBEE_ZSESTE-L1-SEL 421.ElmRelay\Sel Dir.RelSeldir,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPBEE,Sel Dir
