nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,curmg
CT_PALAK_TR1_DIST,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\CT_PALAK_TR1_DIST.StaCt,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,CT 1500/5A,0.01
ZJSA2E_ZPAL1E-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-CT.StaCt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,CT 1200/1A,0.01
ZJSA2E_ZPAL1E-L2-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-CT.StaCt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,CT 1200/1A,0.01
ZJSA1E_ZITAGE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-CT.StaCt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,CT 1200/1A,0.01
ZJSA1E_ZITAGE-L2-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E4.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-CT.StaCt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,CT 1200/1A,0.01
ZJSA1E_ZPARAE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZPARAE-L1-CT.StaCt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,CT 1200/1A,0.01
ZJSA1E_ZITAGE-L2-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-CT.StaCt,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,CT 1200/1A,0.01
ZQU21D_ZPBLAD-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-CT.StaCt,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,CT 120-3000/1-5A,0.01
ZQU11D_ZPVDCD-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-CT.StaCt,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,CT 120-3000/1-5A,0.01
ZPVDCD_ZPBLAD-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\ZPVDCD_ZPBLAD-L1-CT.StaCt,0,CIBAO SUR,NORTE,Expansión 345 kV,ZPVDCD,CT 120-3000/1-5A,0.01
ZPVDCD_ZQU11D-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\ZPVDCD_ZQU11D-L1-CT.StaCt,0,CIBAO SUR,NORTE,Expansión 345 kV,ZPVDCD,CT 120-3000/1-5A,0.01
ZSESTE_ZSPBEE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\ZSESTE.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZSESTE_ZSPBEE-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSESTE,CT 800/1A,0.01
ZLROME_ZHIGUE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-CT.StaCt,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,CT 600/1A,0.01
ZLROME_ZSPMBE-L2-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-CT.StaCt,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,CT 600/1A,0.01
ZLROME_ZSPMBE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-CT.StaCt,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,CT 600/1A,0.01
ZCES3K_ZSPM2E-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 3.ElmTerm\WCES3K(2).StaCubic\ZCES3K_ZSPM2E-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,,CT 600/1A,0.01
ZCES2K_ZSPM2E-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 2.ElmTerm\WCES2K(2).StaCubic\ZCES2K_ZSPM2E-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,,CT 600/1A,0.01
ZCES1K_ZSPM2E-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 1.ElmTerm\WCES1K(2).StaCubic\ZCES1K_ZSPM2E-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,,CT 600/1A,0.01
ZCEMEE_ZSPM2E-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\ZCEMEE.ElmSubstat\WCEMEE(2).ElmTerm\WBCEMEE(2).StaCubic\ZCEMEE_ZSPM2E-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZCEMEE,CT 600/1A,0.01
ZLORIE_ZSPM2E-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLORIE_ZSPM2E-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,CT 600/5A,0.01
ZLORIE_ZXLO1E-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,CT 600/5A,0.01
CT 600 a 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm\Cub_2.StaCubic\CT 600 a 1.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,,CT 600/1A,0.01
CT 500 a 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm\Cub_2.StaCubic\CT 500 a 1.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,,CT 500/ 1-5A,0.01
CT 50 a 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\Terminal Los Orígenes.ElmTerm\Cub_2.StaCubic\CT 50 a 1.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,,CT 50/1A,0.01
ZLORIE_ZSPMAE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,,CT 600/5A,0.01
ZCLUIE_ZAAINE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,CT 1200/1A,0.01
ZCLUIE_ZSPM2E-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E2.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZSPM2E-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,CT 1200/1A,0.01
ZSPBEE_ZSESTE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\ZSPBEE.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\ZSPBEE_ZSESTE-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPBEE,CT 1200/1A,0.01
ZSPBEE_ZQUISE-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro Bio-Energy.ElmSite\ZSPBEE.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZSPBEE_ZQUISE-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPBEE,CT 1200/1A,0.01
ZSPMBE_ZSPM2E-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\L2.ElmTerm\Cub_2.StaCubic\ZSPMBE_ZSPM2E-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,CT 500/5A,0.01
ZSPMBE_ZLROME-L1-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\R1.ElmTerm\Cub_2.StaCubic\ZSPMBE_ZLROME-L1-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,CT 600/1A,0.01
ZSPMBE_ZLROME-L2-CT,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\R2.ElmTerm\Cub_2.StaCubic\ZSPMBE_ZLROME-L2-CT.StaCt,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,CT 600/1A,0.01
