nombre,ruta,cpZone,cpArea,cpGrid,cpSubstat
Cub_1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm\Cub_1.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,
Cub_2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm\Cub_2.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,
Cub_3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm\Cub_3.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,
WBLRPUF(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(3).ElmTerm\WBLRPUF(2).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(1).ElmTerm\WBLRPUF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WBLRPUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(1).ElmTerm\WBLRPUF.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WRPUEF(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm\WRPUEF(2).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WRPUEF(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm\WRPUEF(1).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WRPUEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm\WRPUEF.StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
WRPUEF(3),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm\WRPUEF(3).StaCubic,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF
