nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\PQ Measurement.StaPqmea,0,,,ESTE 69 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 1_EDM3.ElmComp\PQ Measurement.StaPqmea,0,,,CENTRAL 69 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\BESS 2_EDM3.ElmComp\PQ Measurement.StaPqmea,0,,,CENTRAL 69 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\PQ Measurement.StaPqmea,0,,,CENTRAL 69 kV,
PQ_El Soco,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Planta_El Soco.ElmComp\PQ_El Soco.StaPqmea,0,,,ESTE 138 kV,
PQMeasurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Planta_PF Cumayasa 1.ElmComp\PQMeasurement.StaPqmea,0,,,ESTE 138 kV,
PQMeasurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Planta_ PF Cumayasa 2.ElmComp\PQMeasurement.StaPqmea,0,,,ESTE 138 kV,
PQ Medidor Horno-FALCONDO,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\Horno de Arco_FALCONDO.ElmComp\PQ Medidor Horno-FALCONDO.StaPqmea,1,,,NORTE 138 kV,
PQ Medidor Barra-FALCONDO,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\Horno de Arco_FALCONDO.ElmComp\PQ Medidor Barra-FALCONDO.StaPqmea,1,,,NORTE 138 kV,
PQ Measurement,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Planta_SAJOMA.ElmComp\PQ Measurement.StaPqmea,0,,,NORTE 138 kV,
PQ_S-Agua Clara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Planta_Agua Clara.ElmComp\PQ_S-Agua Clara.StaPqmea,0,,,NORTE 138 kV,
