nombre,ruta,uknom
Barra 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 69 kV.TypBar,69.0
Barra 20 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 20 kV.TypBar,20.0
Barra 13.8 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 13.8 kV.TypBar,13.800000190734863
Barra 34.5 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 34.5 kV.TypBar,34.5
Barra 12.5 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 12.5 kV.TypBar,12.5
Barra 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 345 kV.TypBar,345.0
Barra 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 138 kV.TypBar,138.0
Barra 230 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 230 kV.TypBar,230.0
Barra 22 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 22 kV.TypBar,22.0
Barra 34.5 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Santanasol\Equipment Type Library\Busbars\Barra 34.5 kV.TypBar,34.5
Barra 4.16 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 4.16 kV.TypBar,4.159999847412109
Barra 0.45 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 0.45 kV.TypBar,0.44999998807907104
Barra 13.8 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\Pimentel 4\Equipment Type Library\Busbars\Barra 13.8 kV.TypBar,13.800000190734863
Barra 6.9 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 6.9 kV.TypBar,6.900000095367432
Barra 11 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 11 kV.TypBar,11.0
Barra 15 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 15 kV.TypBar,15.0
Barra 18 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 18 kV.TypBar,18.0
Barra 4.16 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\BESS AES Andrés\Equipment Type Library\Busbars\Barra 4.16 kV.TypBar,4.159999847412109
Barra 13.2 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Busbars\Barra 13.2 kV.TypBar,13.199999809265137
