nombre,ruta,systp,sline,frnom
P.MADERA/1C/69/1xF - 4/0 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/1C/69/1xF - 4/0 ACSR.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 - 2/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 - 2/0 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 - 2/0 CU,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 - 2/0 CU.TypTow,0,1.0,60.0
P.MADERA TVS-1/1C/69/1xF - 4/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TVS-1/1C/69/1xF - 4/0 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 55 P/69 - 4/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 55 P/69 - 4/0 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 - 559 AAAC.TypTow,0,1.0,60.0
P.MADERA TVS/1C/69/1xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TVS/1C/69/1xF - 559 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 55 P/69 - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 55 P/69 - 559 AAAC.TypTow,0,1.0,60.0
T.ACERO S1(2)/1C/138/1xF/559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/1C/138/1xF/559 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 - 4/0 CU,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 - 4/0 CU.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 - 4/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 - 4/0 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 - 477 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 - 477 ACSR.TypTow,0,1.0,60.0
P.MADERA/69 TH-1G- 4/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 TH-1G- 4/0 AAAC.TypTow,0,1.0,60.0
P.CONCRETO TVS-1/1C/69/1xF - 4/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.CONCRETO TVS-1/1C/69/1xF - 4/0 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 55 P/69 - 477 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 55 P/69 - 477 ACSR.TypTow,0,1.0,60.0
P.MADERA TVS/1C/69/1xF - 4/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TVS/1C/69/1xF - 4/0 AAAC.TypTow,0,1.0,60.0
P.CONCRETO TVS-1/1C/69/1xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.CONCRETO TVS-1/1C/69/1xF - 559 AAAC.TypTow,0,1.0,60.0
P.MADERA TVS-1/1C/69/2xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TVS-1/1C/69/2xF - 559 AAAC.TypTow,0,1.0,60.0
P.MADERA TVS-1/1C/69/1xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TVS-1/1C/69/1xF - 559 AAAC.TypTow,0,1.0,60.0
P.MADERA TVS-1 65/1C/69/1xF - 559 AAA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TVS-1 65/1C/69/1xF - 559 AAA.TypTow,0,1.0,60.0
T.ACERO S1 1C 1xF 450 ACAR-138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1 1C 1xF 450 ACAR-138 kV.TypTow,0,1.0,60.0
P.MADERA TVS-1/1C/69/2xF - ACCC GDANSK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TVS-1/1C/69/2xF - ACCC GDANSK.TypTow,0,1.0,60.0
T.ACERO 2C 3xF 345 KV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO 2C 3xF 345 KV.TypTow,0,1.0,60.0
T.ACERO S1(2)/2C/138/2xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/2C/138/2xF - 559 AAAC.TypTow,0,1.0,60.0
T.ACERO S1(2)/2C/230/1xF - 1200 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/2C/230/1xF - 1200 AAAC.TypTow,0,1.0,60.0
T.ACERO S1/1C/138/1xF - 559.5 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1/1C/138/1xF - 559.5 AAAC.TypTow,0,1.0,60.0
T.ACERO S1(2)/1C/138/2xF/559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/1C/138/2xF/559 AAAC.TypTow,0,1.0,60.0
T.ACERO S2(2)/2C/138/2xF-559.5 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2(2)/2C/138/2xF-559.5 AAAC.TypTow,0,1.0,60.0
T.ACERO S1(2)/2C/138/1xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/2C/138/1xF - 559 AAAC.TypTow,0,1.0,60.0
T.ACERO S1/1C/138/2xF - 559.5 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1/1C/138/2xF - 559.5 AAAC.TypTow,0,1.0,60.0
T.ACERO/2C/138/2xF-559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO/2C/138/2xF-559 AAAC.TypTow,0,1.0,60.0
P.TUBULAR PA(1)/1C/138/1xF/559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.TUBULAR PA(1)/1C/138/1xF/559 AAAC.TypTow,0,1.0,60.0
T.ACERO SS1/1C/138/1xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO SS1/1C/138/1xF - 559 AAAC.TypTow,0,1.0,60.0
T.ACERO S2/1C/138/1xF - 477 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2/1C/138/1xF - 477 ACSR.TypTow,0,1.0,60.0
T.ACERO S1(2)/2C/138/1xF - 450 ACAR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/2C/138/1xF - 450 ACAR.TypTow,0,1.0,60.0
T.ACERO S2(2)/2C/138/1xF - 900 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2(2)/2C/138/1xF - 900 ACSR.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/34.5 - 4/0 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/34.5 - 4/0 ACSR.TypTow,0,1.0,60.0
T.ACERO S2/2C/138/2xF-927.2 AAAC y OPGW,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2/2C/138/2xF-927.2 AAAC y OPGW.TypTow,0,1.0,60.0
