nombre,ruta,nntap0,strn,utrn_h,utrn_l,uktr,uk0tr,pcutr,pfe,curmg,vecgrp,tap_side,ntpmn,ntpmx,dutap,phitr,r1pu,x1pu,frnom
69/20 kV Trafo Monte Plata Solar 60 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/20 kV Trafo Monte Plata Solar 60 MVA.TypTr2,0,60.0,69.0,20.0,12.0,10.800000190734863,115.0,0.0,0.0,YNyn0,0,-8,10,2.0,0.0,0.0019166666315868497,0.1199846863746643,60.0
69/13.8 kV Trafo Palamara G1 55 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Palamara G1 55 MVA.TypTr2,0,55.0,69.0,13.800000190734863,10.15999984741211,9.140000343322754,270.0,0.0,0.0,YNd11,0,-2,2,2.5,0.0,0.00490909069776535,0.10148133337497711,60.0
69/12.47 kV Trafo INCA 28 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.47 kV Trafo INCA 28 MVA.TypTr2,0,28.0,69.0,12.470000267028809,8.0,6.96999979019165,140.0,0.0,0.0,Dyn1,0,-2,2,2.5,0.0,0.004999999888241291,0.07984359562397003,60.0
66/13.8 kV Trafo EDM3 66 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\66/13.8 kV Trafo EDM3 66 MVA.TypTr2,0,66.0,66.0,13.800000190734863,12.170000076293945,10.95300006866455,190.38900756835938,0.0,0.0,YNd11,0,-9,9,1.6696969270706177,0.0,0.002884682035073638,0.12166581302881241,60.0
69/12.5 kV Trafo de Mata de Palma 60 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo de Mata de Palma 60 MVA.TypTr2,0,60.0,69.0,34.5,12.48783016204834,11.229999542236328,265.20001220703125,0.0,0.0,YNd11,0,-10,10,1.0,0.0,0.0044200001284480095,0.12480005621910095,60.0
69/13.8 kV Trafo Maranatha,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Maranatha.TypTr2,0,24.0,69.0,13.800000190734863,9.720000267028809,8.75,171.83999633789062,0.0,0.0,YNd11,0,-16,16,0.625,0.0,0.007160000037401915,0.09693593531847,60.0
345/138 kV Julio Sauri T1 y T2 (600 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\345/138 kV Julio Sauri T1 y T2 (600 MVA).TypTr2,0,600.0,345.0,138.0,13.770000457763672,13.961275100708008,118.78199768066406,0.0,0.041999999433755875,YNyn0,0,-10,10,1.25,0.0,0.00019797000277321786,0.13769985735416412,60.0
345/138 kV El Naranjo T1 y T2 (450 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\345/138 kV El Naranjo T1 y T2 (450 MVA).TypTr2,0,450.0,345.0,138.0,13.5,12.320429801940918,118.78199768066406,0.0,0.0,YNyn0,0,-10,10,1.25,0.0,0.00026395998429507017,0.13499975204467773,60.0
230/13.8 kV Trafo 18% Quisqueya 90 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\230/13.8 kV Trafo 18% Quisqueya 90 MVA.TypTr2,0,90.0,230.0,13.800000190734863,18.004444122314453,4.300000190734863,360.0,0.0,0.0,YNd11,0,-2,2,2.5,0.0,0.004000000189989805,0.18000000715255737,60.0
230/13.8 kV Trafo18% Quisqueya 106 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\230/13.8 kV Trafo18% Quisqueya 106 MVA.TypTr2,0,106.0,230.0,13.800000190734863,18.0,4.300000190734863,420.0,0.0,0.0,YNd11,0,-2,2,2.5,0.0,0.003962263930588961,0.17995639145374298,60.0
