nombre,fuera_servicio,zona,area,red,ruta,barra_AT,subest_AT,barra_AT_id,barra_BT,subest_BT,barra_BT_id,tipo,num_paralelos,tap_actual,S_nom_MVA,U_AT_kV,U_BT_kV,uk_pct,uk0_pct,Pcu_kW,Pfe_kW,i0_pct,grupo_conexion,r1_pu,x1_pu,tap_lado,tap_min,tap_max,tap_neutro,tap_dU_pct,tap_fase_deg
69/20 kV Transformador Monte Plata Solar,0,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\69/20 kV Transformador Monte Plata Solar.ElmTr2,69 kV Monte Plata Solar,Monte Plata Solar,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\69 kV Monte Plata Solar.ElmTerm,1,ZMPSOK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\1.ElmTerm,69/20 kV Trafo Monte Plata Solar 60 MVA,1,0,60.0,69.0,20.0,12.0,10.800000190734863,115.0,0.0,0.0,YNyn0,0.0019166666315868497,0.1199846863746643,0,-8,10,0,2.0,0.0
69/13.8 kV Transformador Palamara Grupo3,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo3.ElmTr2,4,ZGPALF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZGPALF.ElmSubstat\4.ElmTerm,4,ZPAL3K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\4.ElmTerm,69/13.8 kV Trafo Palamara G1 55 MVA,1,0,55.0,69.0,13.800000190734863,10.15999984741211,9.140000343322754,270.0,0.0,0.0,YNd11,0.00490909069776535,0.10148133337497711,0,-2,2,0,2.5,0.0
69/13.8 kV Transformador Palamara Grupo2,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo2.ElmTr2,2,ZGPALF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZGPALF.ElmSubstat\2.ElmTerm,R4,ZPAL1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R4.ElmTerm,69/13.8 kV Trafo Palamara G1 55 MVA,1,0,55.0,69.0,13.800000190734863,10.15999984741211,9.140000343322754,270.0,0.0,0.0,YNd11,0.00490909069776535,0.10148133337497711,0,-2,2,0,2.5,0.0
69/13.8 kV Transformador Palamara Grupo1,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo1.ElmTr2,3,ZGPALF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZGPALF.ElmSubstat\3.ElmTerm,L1,ZPAL1K,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L1.ElmTerm,69/13.8 kV Trafo Palamara G1 55 MVA,1,0,55.0,69.0,13.800000190734863,10.15999984741211,9.140000343322754,270.0,0.0,0.0,YNd11,0.00490909069776535,0.10148133337497711,0,-2,2,0,2.5,0.0
69/12.5 kV Transformador INCA km 22,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\69/12.5 kV Transformador INCA km 22.ElmTr2,3,ZINCAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\ZINCAF.ElmSubstat\3.ElmTerm,R4,ZINCAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\R4.ElmTerm,69/12.47 kV Trafo INCA 28 MVA,1,0,28.0,69.0,12.470000267028809,8.0,6.96999979019165,140.0,0.0,0.0,Dyn1,0.004999999888241291,0.07984359562397003,0,-2,2,0,2.5,0.0
66/13.8 kV Transformador EDM3,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\66/13.8 kV Transformador EDM3.ElmTr2,T01,ZEMA3F,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\ZEMA3F.ElmSubstat\T01.ElmTerm,Terminal EDM3 TG2,EDM 3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm,66/13.8 kV Trafo EDM3 66 MVA,1,0,66.0,66.0,13.800000190734863,12.170000076293945,10.95300006866455,190.38900756835938,0.0,0.0,YNd11,0.002884682035073638,0.12166581302881241,0,-9,9,0,1.6696969270706177,0.0
69/34.5 kV Transformador Mata de Palma,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\69/34.5 kV Transformador Mata de Palma.ElmTr2,69 kV Mata de Palma,Mata de Palma,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\69 kV Mata de Palma.ElmTerm,Terminal Mata de Palma_,Mata de Palma,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma_.ElmTerm,69/12.5 kV Trafo de Mata de Palma 60 MVA,1,8,60.0,69.0,34.5,12.48783016204834,11.229999542236328,265.20001220703125,0.0,0.0,YNd11,0.0044200001284480095,0.12480005621910095,0,-10,10,0,1.0,0.0
69/13.8 kV Transformador Maranatha,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\69/13.8 kV Transformador Maranatha.ElmTr2,69 kV Maranatha,Maranatha,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\69 kV Maranatha.ElmTerm,Terminal Maranatha,Maranatha,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm,69/13.8 kV Trafo Maranatha,1,0,24.0,69.0,13.800000190734863,9.720000267028809,8.75,171.83999633789062,0.0,0.0,YNd11,0.007160000037401915,0.09693593531847,0,-16,16,0,0.625,0.0
345/138 kV Transformador 1 Julio Sauri,0,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\345/138 kV Transformador 1 Julio Sauri.ElmTr2,D4,ZJSAUD,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\D4.ElmTerm,E5,ZJSAUD,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E5.ElmTerm,345/138 kV Julio Sauri T1 y T2 (600 MVA),1,8,600.0,345.0,138.0,13.770000457763672,13.961275100708008,118.78199768066406,0.0,0.041999999433755875,YNyn0,0.00019797000277321786,0.13769985735416412,0,-10,10,0,1.25,0.0
345/138 kV Transformador 2 Julio Sauri,0,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\345/138 kV Transformador 2 Julio Sauri.ElmTr2,D1(1),ZJSAUD,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\D1(1).ElmTerm,E1(1),ZJSAUD,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E1(1).ElmTerm,345/138 kV Julio Sauri T1 y T2 (600 MVA),1,8,600.0,345.0,138.0,13.770000457763672,13.961275100708008,118.78199768066406,0.0,0.041999999433755875,YNyn0,0.00019797000277321786,0.13769985735416412,0,-10,10,0,1.25,0.0
