loc_name,for_name,outserv,zona,area,red,ruta,U_consigna_pu,modo,nodo_ctrl,nodo_ctrl_for,sel_barra
345 kV Nodo Piloto Julio Sauri,SC_JSAUD,0,,,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\345 kV Nodo Piloto Julio Sauri.ElmStactrl,1.0,0,345 kV Julio Sauri B1 Sec A,WJSA1D,0
230 kV Nodo Piloto Bonao 3,SC_PBLAE,0,,,Expansión 345 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Bonao 3.ElmSite\230 kV Nodo Piloto Bonao 3.ElmStactrl,0.9779999852180481,0,Tap 230 kV Bonao 3 D02,WXBO2D,0
138 kV Nodo SPM 2,SC_SPM2E,0,,,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\138 kV Nodo SPM 2.ElmStactrl,1.0069999694824219,0,138 kV SPM 2 B2 Sec A,WSP2CE,0
138 kV Nodo Piloto Monción,SC_MONCE,0,,,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\138 kV Nodo Piloto Monción.ElmStactrl,1.0,0,138 kV Monción,WMONCE,0
138 kV Nodo Piloto Pimentel,SC_PIMEE,0,,,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\138 kV Nodo Piloto Pimentel.ElmStactrl,0.9900000095367432,0,138 kV SFM BP,WSFM1E,0
138 kV Nodo Piloto Canabacoa,SC_CANAE,0,,,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\138 kV Nodo Piloto Canabacoa.ElmStactrl,0.9934999942779541,0,138 kV Canabacoa BP Sec A,WCAN1E,0
138 kV Nodo Piloto Kilómetro 15 de Azua,SC_KQAZE,0,,,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\km 15 de Azua.ElmSite\138 kV Nodo Piloto Kilómetro 15 de Azua.ElmStactrl,0.9988999962806702,0,138 kV Kilómetro 15 de Azua B1,WKQA1E,0
138 kV Nodo Piloto Valdesia,SC_PIZAE,0,,,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138 kV Nodo Piloto Valdesia.ElmStactrl,1.0,0,138 kV Valdesia Sec A,WVALDE,0
138 kV Nodo Piloto Itabo,SC_ITABE,0,,,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\138 kV Nodo Piloto Itabo.ElmStactrl,0.9894999861717224,0,138 kV Itabo B1,WITA1E,0
138 kV Nodo Piloto Cruce Cabral 2,SC_CC2E,0,,,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\138 kV Nodo Piloto Cruce Cabral 2.ElmStactrl,1.0,0,138 kV Cruce de Cabral 2 B1,WCC21E,0
138 kV Nodo Piloto Boca Chica,SC_BOCE,0,,,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\138 kV Nodo Piloto Boca Chica.ElmStactrl,0.9745000004768372,0,138 kV Boca Chica,WBCHIE,0
138 kV Nodo Piloto AES Andrés,SC_AANDE,0,,,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138 kV Nodo Piloto AES Andrés.ElmStactrl,1.0099999904632568,0,138 kV AES Andrés Interconexión,WIAANE,0
69 kV Nodo Piloto Timbeque 2,SC_TIM2F,0,,,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\69 kV Nodo Piloto Timbeque 2.ElmStactrl,0.9835000038146973,0,69 kV Timbeque 2 BP,WTI21F,0
138 kV Nodo Piloto Los Mina,SC_LMINE,0,,,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\138 kV Nodo Piloto Los Mina.ElmStactrl,1.0099999904632568,0,138 kV Los Mina B2 Sec B,WLM22E,0
