loc_name,for_name,outserv,zona,area,red,ruta,barra_con,barra_con_for,barra_con_kV,barra_con_id,categoria,num_unidades,S_nom_MVA,cos_phi,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_control,Q_min_pu,Q_max_pu,P_max_MW
Monte Plata Solar,G3MPSOLA,1,ESTE CERCANO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\Monte Plata Solar.ElmGenstat,5,,20.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm,Photovoltaic,1,60.0,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,60.0
SA 1 EDM3,G7EMAR31,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SA 1 EDM3.ElmGenstat,Terminal EDM3 TG1,WEM31K,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG1.ElmTerm,Storage,1,2.5,1.0,1.000000013351432e-10,0.0,1.0,constq,-1.0,1.0,2.5
SA 2 EDM3,G7EMAR32,1,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\SA 2 EDM3.ElmGenstat,Terminal EDM3 TG2,WEM32K,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\Terminal EDM3 TG2.ElmTerm,Storage,1,2.5,1.0,1.000000013351432e-10,0.0,1.0,constq,-1.0,1.0,2.5
Mata de Palma Solar,G3PFMPAL,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Mata de Palma Solar.ElmGenstat,Terminal Mata de Palma_,WMPALK_,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\Terminal Mata de Palma_.ElmTerm,Photovoltaic,21,2.375,1.0,0.0,0.0,1.0,constq,-2.0,2.0,2.375
PF Maranatha,G3PFMARA,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\PF Maranatha.ElmGenstat,Terminal Maranatha,WMARAK,13.800000190734863,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm,Photovoltaic,2,5.0,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,5.0
El Soco,G3ESOCO,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\El Soco.ElmGenstat,Terminal Parque Solar El Soco,WXESOK,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Terminal Parque Solar El Soco.ElmTerm,Photovoltaic,11,4.769999980926514,1.0,0.0,0.0,1.0,constq,-1.0,1.0,4.769999980926514
PF Cumayasa 2,G3PFCUM2,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 2.ElmGenstat,Terminal PF Cumayasa 2,WXCU2K,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 2.ElmTerm,Photovoltaic,5,6.0,1.0,0.0,0.0,1.0,constq,-1.0,1.0,6.0
PF Cumayasa 1,G3PFCUM1,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\PF Cumayasa 1.ElmGenstat,Terminal PF Cumayasa 1,WXCU1K,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\Terminal PF Cumayasa 1.ElmTerm,Photovoltaic,9,5.559999942779541,1.0,0.0,0.0,1.0,constq,-0.6666666865348816,0.6666666865348816,5.559999942779541
Parque Fotovoltaico SAJOMA,G3PFSAJO,1,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Parque Fotovoltaico SAJOMA.ElmGenstat,Terminal PF SAJOMA,WXPFSK,34.5,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\SAJOMA.ElmSite\Terminal PF SAJOMA.ElmTerm,Photovoltaic,9,7.599999904632568,1.0,0.0,0.0,1.0,constq,-0.662857174873352,0.662857174873352,7.599999904632568
Monte Cristi Solar Grupo 2,G4PFMSO2,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\Monte Cristi Solar Grupo 2.ElmGenstat,R3,,20.0,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monte Cristi Solar.ElmSite\ZPFMSK.ElmSubstat\R3.ElmTerm,Photovoltaic,12,2.200000047683716,1.0,0.0,0.0,1.0,constq,-1.0,1.0,2.200000047683716
