loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus2),barra(bus2)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,on_off,aUsage
disconnector(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(5).ElmCoup,WLRPUF(4),,WLRPUF(1),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector(4),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(4).ElmCoup,69 kV La Romana Pueblo,WLRMAF,WLRPUF(9),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector(3),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(3).ElmCoup,WLRPUF(8),,WLRPUF(3),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector(2),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(2).ElmCoup,69 kV La Romana Pueblo,WLRMAF,WLRPUF(7),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector.ElmCoup,69 kV La Romana Pueblo,WLRMAF,WLRPUF(5),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
ZLRMAF_ZLROMF-L1-Q1,ZLRMAF_ZLROMF-L1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\ZLRMAF_ZLROMF-L1-Q1.ElmCoup,WLRPUF(9),,WLRPUF(8),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,cbk
ZLRPUF-C1-Q1,ZLRPUF-C1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\ZLRPUF-C1-Q1.ElmCoup,WLRPUF(7),,WLRPUF(6),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,cbk
disconnector(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(1).ElmCoup,WLRPUF(6),,WLRPUF(2),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
ZLRPUF-D1-Q1,ZLRPUF-D1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\ZLRPUF-D1-Q1.ElmCoup,WLRPUF(5),,WLRPUF(4),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,cbk
disconnector(7),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(7).ElmCoup,69 kV La Romana Pueblo,WLRMAF,1(2),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
ZLRMAF-D2-Q1,ZLRMAF-D2-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\ZLRMAF-D2-Q1.ElmCoup,1(2),,1(1),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,cbk
disconnector(6),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(6).ElmCoup,1(1),,1,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector(3),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\disconnector(3).ElmCoup,WHIGUF(2),,WHIGUF(5),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,dct
disconnector(2),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\disconnector(2).ElmCoup,WHIGUF(4),,WHIGUF(6),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,dct
disconnector(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\disconnector(1).ElmCoup,69 kV Higüey,WHIGUF,WHIGUF(1),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,dct
disconnector,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\disconnector.ElmCoup,69 kV Higüey,WHIGUF,WHIGUF(3),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,dct
ZHIGUF_ZBENEF-L1-Q1,ZHIGUF_ZBENEF-L1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\ZHIGUF_ZBENEF-L1-Q1.ElmCoup,WHIGUF(1),,WHIGUF(2),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,cbk
ZHIGUF-D1-Q1,ZHIGUF-D1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\ZHIGUF-D1-Q1.ElmCoup,WHIGUF(3),,WHIGUF(4),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,cbk
disconnector(7),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\disconnector(7).ElmCoup,69 kV Higüey,WHIGUF,1(5),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,dct
disconnector(6),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\disconnector(6).ElmCoup,1(4),,1(3),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,dct
ZHIGUF_ZBENEF-L1-Q1(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\ZHIGUF_ZBENEF-L1-Q1(1).ElmCoup,1(5),,1(4),,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZHIGUF,,0.0,0.0,0.0,1,cbk
disconnector(2),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(2).ElmCoup,69 kV Monte Plata,WMPLAF,WMPLAF(3),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,dct
disconnector(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(1).ElmCoup,WMPLAF(4),,WMPLAF(6),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,dct
ZMPLAF-D1-Q1,ZMPLAF-D1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\ZMPLAF-D1-Q1.ElmCoup,WMPLAF(3),,WMPLAF(4),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,cbk
disconnector(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\disconnector(5).ElmCoup,69 kV Monte Plata,WMPLAF,1(2),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,,0.0,0.0,0.0,1,dct
