loc_name,for_name,ruta
EDENORTE,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\EDENORTE.ElmOwner
UNR,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\UNR.ElmOwner
EDEESTE,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\EDEESTE.ElmOwner
EDEESTE + UNR,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\EDEESTE + UNR.ElmOwner
EDESUR,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\EDESUR.ElmOwner
SSAA,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\SSAA.ElmOwner
EDESUR + UNR,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\EDESUR + UNR.ElmOwner
EDENORTE + UNR,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\EDENORTE + UNR.ElmOwner
EDENORTE+UNR+LUZ Y FUERZA Y EL LIMON,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\EDENORTE+UNR+LUZ Y FUERZA Y EL LIMON.ElmOwner
LUZ Y FUERZA LAS TERRENAS,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\LUZ Y FUERZA LAS TERRENAS.ElmOwner
EL PROGRESO DEL LIMON,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\EL PROGRESO DEL LIMON.ElmOwner
AUTOPRODUCTOR,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Owners.IntOwner\AUTOPRODUCTOR.ElmOwner
