loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,typ_id,GPSlat,GPSlon,Inom,ngnum,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,mode_inp,phtech,bustp,phiini
Palamara Grupo 3,G4PALAM3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 3.ElmSym,1,,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Diesel,,Palamara Motor,0.0,0.0,2.2521681785583496,4,1.000000013351432e-10,0.0,0.9900000095367432,constv,0,10.766400337219238,0.0,1.0,-1.0,9.5600004196167,DEF,1,PV,0.0
Palamara Grupo 2,G4PALAM2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 2.ElmSym,R1,,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Diesel,,Palamara Motor,0.0,0.0,1.1260840892791748,2,1.000000013351432e-10,0.0,1.0,constv,0,10.766400337219238,0.0,1.0,-1.0,9.5600004196167,DEF,1,PV,0.0
Palamara Grupo 1,G4PALAM1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\Palamara Grupo 1.ElmSym,L2,,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Diesel,,Palamara Motor,0.0,0.0,2.2521681785583496,4,1.000000013351432e-10,0.0,0.9900000095367432,constv,0,10.766400337219238,0.0,1.0,-1.0,9.5600004196167,DEF,1,PV,0.0
INCA km 22 Grupo 1,G4IKM22,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\INCA km 22 Grupo 1.ElmSym,L1,,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Diesel,,INCA G6 Y G7,0.0,0.0,0.5013270974159241,2,1.000000013351432e-10,0.0,1.0,constq,0,4.331200122833252,0.0,1.0,-1.0,4.0,DEF,1,PQ,0.0
INCA km 22 Grupo 2,G5IKM22,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\INCA km 22 Grupo 2.ElmSym,L2,,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,Diesel,,INCA_G5,0.0,0.0,0.35210496187210083,1,1.000000013351432e-10,0.0,1.0,constq,0,6.079999923706055,0.0,1.0,-1.0,6.0,DEF,1,PQ,0.0
EDM3 TG1,G5EMA3G1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TG1.ElmSym,Terminal EDM3 TG1,WEM31K,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,Gas,,Estrella del Mar 3 TG,0.0,0.0,2.665015459060669,1,49.66667175292969,0.0,1.0,constv,0,50.959999084472656,0.0,1.0,-1.0,50.0,DEF,1,PV,0.0
EDM3 TG2,G5EMA3G2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TG2.ElmSym,Terminal EDM3 TG2,WEM32K,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,Gas,,Estrella del Mar 3 TG,0.0,0.0,2.665015459060669,1,49.66667175292969,0.0,1.0,constv,0,50.959999084472656,0.0,1.0,-1.0,50.0,DEF,1,PV,0.0
EDM3 TV,G5EMAR3V,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\EDM3 TV.ElmSym,Terminal EDM3 TV,WEM33K,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,Gas,,Estrella del Mar 3 TV,0.0,0.0,2.527371644973755,1,49.66667175292969,0.0,1.0,constv,0,48.327999114990234,0.0,1.0,-1.0,48.0,DEF,1,PV,0.0
Quisqueya 1 San Pedro,G4Q1SPED,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 San Pedro.ElmSym,E1,,0,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 1 Motor,0.0,0.0,3.5720407962799072,4,15.100000381469727,0.0,1.0490000247955322,constv,0,17.076000213623047,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
Quisqueya 1 Grupo 2,G4QUIS12,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 1 Grupo 2.ElmSym,E15,,0,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 1 Motor,0.0,0.0,3.5720407962799072,4,17.076000213623047,0.0,1.0,constv,0,17.076000213623047,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
Quisqueya 2 Grupo 1,G4QUIS21,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 1.ElmSym,E1,,1,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 2 Motor,0.0,0.0,3.5720407962799072,4,1.000000013351432e-10,0.0,1.0,constv,0,17.076000213623047,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
Quisqueya 2 Grupo 2,G4QUIS22,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 2.ElmSym,E15,,1,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 2 Motor,0.0,0.0,3.5720407962799072,4,1.000000013351432e-10,0.0,1.0,constv,0,17.076000213623047,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
Quisqueya 2 Grupo 3,G4QUIS23,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\Quisqueya 2 Grupo 3.ElmSym,E9,,1,ESTE CERCANO,ESTE,Expansión 345 kV,Others,,Quisqueya 2 Motor,0.0,0.0,3.5720407962799072,4,1.000000013351432e-10,0.0,1.0,constv,0,17.076000213623047,0.0,1.0,-1.0,17.0,DEF,1,PV,0.0
