loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
345 kV Bonao 3 – El Naranjo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\345 kV Bonao 3 – El Naranjo.ElmTow,0,,,Expansión 345 kV,,
138kV Julio Sauri – Palamara,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\138kV Julio Sauri – Palamara.ElmTow,0,,,Expansión 345 kV,,
138kV Piedra Blanca – PVDC_Quisqueya,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\138kV Piedra Blanca – PVDC_Quisqueya.ElmTow,0,,,Expansión 345 kV,,
138kV PVDC – Piedra Blanca_Quisqueya,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\138kV PVDC – Piedra Blanca_Quisqueya.ElmTow,0,,,Expansión 345 kV,,
345kV JulSauri – ElNaranjo_PiedBlanca_a,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\345kV JulSauri – ElNaranjo_PiedBlanca_a.ElmTow,0,,,Expansión 345 kV,,
345 kV Bonao 3 – Julio Sauri,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\345 kV Bonao 3 – Julio Sauri.ElmTow,0,,,Expansión 345 kV,,
345 kV Julio Sauri – Guerra,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\345 kV Julio Sauri – Guerra.ElmTow,0,,,Expansión 345 kV,,
138kV SPM2 – Boca Chica_Juan Dolio,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV SPM2 – Boca Chica_Juan Dolio.ElmTow,0,,,ESTE 138 kV,,
138kV Juan Dolio – Hainamosa_SPM2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV Juan Dolio – Hainamosa_SPM2.ElmTow,0,,,ESTE 138 kV,,
138kV BocaChica_SPM2_Hainamosa_JuanDolio,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV BocaChica_SPM2_Hainamosa_JuanDolio.ElmTow,0,,,ESTE 138 kV,,
138kV Boca Chica – Hainamosa_SPM2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV Boca Chica – Hainamosa_SPM2.ElmTow,0,,,ESTE 138 kV,,
138kV Hainamosa – Boca Chica_Juan Dolio,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV Hainamosa – Boca Chica_Juan Dolio.ElmTow,0,,,ESTE 138 kV,,
138kV La Romana – SPM_b,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV La Romana – SPM_b.ElmTow,0,,,ESTE 138 kV,,
138kV SPM2 – AES Interconexión_La Luisa,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV SPM2 – AES Interconexión_La Luisa.ElmTow,0,,,ESTE 138 kV,,
138kV AES Interconexión – Hainamosa,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV AES Interconexión – Hainamosa.ElmTow,0,,,ESTE 138 kV,,
138kV Los Orígenes – SPM_SPM2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV Los Orígenes – SPM_SPM2.ElmTow,0,,,ESTE 138 kV,,
138kV SPM2 – Los Orígenes_SPM,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV SPM2 – Los Orígenes_SPM.ElmTow,0,,,ESTE 138 kV,,
138kV SPM – Los Orígenes_SPM2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV SPM – Los Orígenes_SPM2.ElmTow,0,,,ESTE 138 kV,,
138kV AES Interconexión – La Luisa_SPM2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV AES Interconexión – La Luisa_SPM2.ElmTow,0,,,ESTE 138 kV,,
138kV La Luisa – AES Interconexión_SPM2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV La Luisa – AES Interconexión_SPM2.ElmTow,0,,,ESTE 138 kV,,
230 kV Quisqueya – Piedra Blanca_PVDC,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\230 kV Quisqueya – Piedra Blanca_PVDC.ElmTow,0,,,ESTE 138 kV,,
138kV SPBioEnergy – Sultana_Quisqueya1SP,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV SPBioEnergy – Sultana_Quisqueya1SP.ElmTow,0,,,ESTE 138 kV,,
138 kV Derivación El Soco,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138 kV Derivación El Soco.ElmTow,0,,,ESTE 138 kV,,
138 kV Guerra – Hainamosa,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138 kV Guerra – Hainamosa.ElmTow,0,,,ESTE 138 kV,,
138kV La Romana – SPM_a,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138kV La Romana – SPM_a.ElmTow,0,,,ESTE 138 kV,,
138 kV Derivación Cumayasa,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138 kV Derivación Cumayasa.ElmTow,0,,,ESTE 138 kV,,
138kV Navarrete2 – AguaClara_ValverdeMao,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Navarrete2 – AguaClara_ValverdeMao.ElmTow,0,,,NORTE 138 kV,,
138kV Canabacoa – Nibaje_ZF Santiago,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Canabacoa – Nibaje_ZF Santiago.ElmTow,0,,,NORTE 138 kV,,
138kV ZF Santiago – Canabacoa_Nibaje,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV ZF Santiago – Canabacoa_Nibaje.ElmTow,0,,,NORTE 138 kV,,
138kV Canabacoa – Tavera,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Canabacoa – Tavera.ElmTow,0,,,NORTE 138 kV,,
138kV Bonao 2 – Palamara,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Bonao 2 – Palamara.ElmTow,0,,,NORTE 138 kV,,
138kV Bonao 2 – Canabacoa,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Bonao 2 – Canabacoa.ElmTow,0,,,NORTE 138 kV,,
138kV Bonao 2 – Falcondo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Bonao 2 – Falcondo.ElmTow,0,,,NORTE 138 kV,,
138kV Monción – SgoRodríguez_ValverdeMao,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Monción – SgoRodríguez_ValverdeMao.ElmTow,0,,,NORTE 138 kV,,
138kV Agua Clara – Guanillo_Navarrete 2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Agua Clara – Guanillo_Navarrete 2.ElmTow,0,,,NORTE 138 kV,,
138kV Guanillo – Agua Clara_Guayubín,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Guanillo – Agua Clara_Guayubín.ElmTow,0,,,NORTE 138 kV,,
138kV Guzmancito – Navarrete2_PtoPlata2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Guzmancito – Navarrete2_PtoPlata2.ElmTow,0,,,NORTE 138 kV,,
138kV Pto Plata 2 – Guzmancito_ElNaranjo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Pto Plata 2 – Guzmancito_ElNaranjo.ElmTow,0,,,NORTE 138 kV,,
138kV El Naranjo – Navarrete2_Pto Plata2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV El Naranjo – Navarrete2_Pto Plata2.ElmTow,0,,,NORTE 138 kV,,
138kV Navarrete2_Guzmancito_Naranjo_PP2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Navarrete2_Guzmancito_Naranjo_PP2.ElmTow,0,,,NORTE 138 kV,,
138 kV Guayubín – Guanillo_Montecristi,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138 kV Guayubín – Guanillo_Montecristi.ElmTow,0,,,NORTE 138 kV,,
138kV Nibaje – Canabacoa_ZF Santiago,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Nibaje – Canabacoa_ZF Santiago.ElmTow,0,,,NORTE 138 kV,,
138kV Puerto Plata 2 – ZF Santiago_b,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\138kV Puerto Plata 2 – ZF Santiago_b.ElmTow,0,,,NORTE 138 kV,,
