loc_name,for_name,ruta,barra(bushv),barra(bushv)_for,barra(buslv),barra(buslv)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,ntnum,nntap,i_cont,usetp
69/20 kV Transformador Monte Plata Solar,WMPSOF_WMPSOK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\69/20 kV Transformador Monte Plata Solar.ElmTr2,69 kV Monte Plata Solar,WMPSOF,1,,0,ESTE CERCANO,ESTE,ESTE 69 kV,,69/20 kV Trafo Monte Plata Solar 60 MVA,0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador Palamara Grupo3,WGPALF_WPAL3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo3.ElmTr2,4,,4,,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,69/13.8 kV Trafo Palamara G1 55 MVA,0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador Palamara Grupo2,WGPALF_WPAL2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo2.ElmTr2,2,,R4,,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,69/13.8 kV Trafo Palamara G1 55 MVA,0.0,0.0,1,0,0,1.0
69/13.8 kV Transformador Palamara Grupo1,WGPALF_WPAL1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo1.ElmTr2,3,,L1,,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,69/13.8 kV Trafo Palamara G1 55 MVA,0.0,0.0,1,0,0,1.0
69/12.5 kV Transformador INCA km 22,WINCAF-WINCAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\69/12.5 kV Transformador INCA km 22.ElmTr2,3,,R4,,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,69/12.47 kV Trafo INCA 28 MVA,0.0,0.0,1,0,0,1.0
66/13.8 kV Transformador EDM3,WEMA3F_WEMB3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\66/13.8 kV Transformador EDM3.ElmTr2,T01,,Terminal EDM3 TG2,WEM32K,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,,66/13.8 kV Trafo EDM3 66 MVA,0.0,0.0,1,0,0,1.0
69/34.5 kV Transformador Mata de Palma,WMPALF_WMPALK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\69/34.5 kV Transformador Mata de Palma.ElmTr2,69 kV Mata de Palma,WMPALF,Terminal Mata de Palma_,WMPALK_,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,69/12.5 kV Trafo de Mata de Palma 60 MVA,0.0,0.0,1,8,0,1.0
69/13.8 kV Transformador Maranatha,WHNS1F_WMARAK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\69/13.8 kV Transformador Maranatha.ElmTr2,69 kV Maranatha,WMARAF,Terminal Maranatha,WMARAK,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,69/13.8 kV Trafo Maranatha,0.0,0.0,1,0,0,1.0
345/138 kV Transformador 1 Julio Sauri,WJSAUD_WJSAUE-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\345/138 kV Transformador 1 Julio Sauri.ElmTr2,D4,,E5,,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,345/138 kV Julio Sauri T1 y T2 (600 MVA),0.0,0.0,1,8,0,1.0
345/138 kV Transformador 2 Julio Sauri,WJSAUD_WJSAUE-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\345/138 kV Transformador 2 Julio Sauri.ElmTr2,D1(1),,E1(1),,0,SUR CERCANO,SUR,Expansión 345 kV,,345/138 kV Julio Sauri T1 y T2 (600 MVA),0.0,0.0,1,8,0,1.0
345/138 kV Transformador 2 El Naranjo,WNARAD_WNARAE-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\ZNARAD.ElmSubstat\345/138 kV Transformador 2 El Naranjo.ElmTr2,D4,,E4,,0,CIBAO NORTE,NORTE,Expansión 345 kV,ZNARAD,345/138 kV El Naranjo T1 y T2 (450 MVA),0.0,0.0,1,4,0,1.0
345/138 kV Transformador 1 El Naranjo,WNARAD_WNARAE-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\345/138 kV Transformador 1 El Naranjo.ElmTr2,D5,,E6,,0,CIBAO NORTE,NORTE,Expansión 345 kV,,345/138 kV El Naranjo T1 y T2 (450 MVA),0.0,0.0,1,4,0,1.0
230/13.8 kV Transformador Quisqueya 2 G1,WQU11D_WQU21K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G1.ElmTr2,9,,E2,,0,ESTE CERCANO,ESTE,Expansión 345 kV,,230/13.8 kV Trafo 18% Quisqueya 90 MVA,0.0,0.0,1,0,0,1.0
230/13.8 kV Transformador Quisqueya 2 G2,WQU11D_WQU22K-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G2.ElmTr2,8,,E6,,0,ESTE CERCANO,ESTE,Expansión 345 kV,,230/13.8 kV Trafo 18% Quisqueya 90 MVA,0.0,0.0,1,0,0,1.0
230/13.8 kV Transformador Quisqueya 2 G3,WQU11D_WQU23K-T3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G3.ElmTr2,6,,10,,0,ESTE CERCANO,ESTE,Expansión 345 kV,,230/13.8 kV Trafo18% Quisqueya 106 MVA,0.0,0.0,1,0,0,1.0
230/13.8 kV Transformador Q1 San Pedro,WQUISD_WQ1SPK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Q1 San Pedro.ElmTr2,1,,E2,,0,ESTE CERCANO,ESTE,Expansión 345 kV,,230/13.8 kV Trafo 18% Quisqueya 90 MVA,0.0,0.0,1,0,0,1.0
230/13.8 kV Transformador Quisqueya 1 G2,WQU21D_WQU12K-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 1 G2.ElmTr2,2,,E6,,0,ESTE CERCANO,ESTE,Expansión 345 kV,,230/13.8 kV Trafo 18% Quisqueya 90 MVA,0.0,0.0,1,0,0,1.0
230/13.8 kV Transformador Quisqueya 1 G3,WQU21D_WQU13K-T3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 1 G3.ElmTr2,3,,5,,0,ESTE CERCANO,ESTE,Expansión 345 kV,,230/13.8 kV Trafo18% Quisqueya 106 MVA,0.0,0.0,1,0,0,1.0
230/34.5 kV Transformador 1 PVDC,WPVDCD_WPVD1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\230/34.5 kV Transformador 1 PVDC.ElmTr2,L4,,Terminal PVDC 1,WPVD1K,0,CIBAO SUR,NORTE,Expansión 345 kV,,230/34.5 kV Trafo Barrick Carga 150 MVA,0.0,0.0,1,0,0,1.0
230/34.5 kV Transformador 2 PVDC,WPVDCD_WPVD2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\230/34.5 kV Transformador 2 PVDC.ElmTr2,R2,,Terminal PVDC 2,WPVD2K,0,CIBAO SUR,NORTE,Expansión 345 kV,,230/34.5 kV Trafo Barrick Carga 150 MVA,0.0,0.0,1,0,0,1.0
345/22 kV Transformador Punta Catalina 1,WPCA2D_WPCA1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\345/22 kV Transformador Punta Catalina 1.ElmTr2,4,,Terminal Punta Catalina 1,WPCA1K,0,SUR CERCANO,SUR,Expansión 345 kV,,345/22 kV Trafo Punta Catalina 425 MVA,0.0,0.0,1,3,0,1.0
345/22 kV Transformador Punta Catalina 2,WPCA2D_WPCA2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\345/22 kV Transformador Punta Catalina 2.ElmTr2,2,,Terminal Punta Catalina 2,WPCA2K,0,SUR CERCANO,SUR,Expansión 345 kV,,345/22 kV Trafo Punta Catalina 425 MVA,0.0,0.0,1,3,0,1.0
