loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SA522.ElmRelay\Dir-Z.RelDisdir,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SA522.ElmRelay\Dir-Z.RelDisdir,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SA522.ElmRelay\Dir-Z.RelDisdir,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E4.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SA522.ElmRelay\Dir-Z.RelDisdir,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZPARAE-L1-7SA522.ElmRelay\Dir-Z.RelDisdir,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SA522.ElmRelay\Dir-Z.RelDisdir,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\CEMEX.ElmSite\ZCEMEE.ElmSubstat\WCEMEE(2).ElmTerm\WBCEMEE(2).StaCubic\ZCEMEE_ZSPM2E-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCEMEE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLORIE_ZSPM2E-L1-7SA511.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLORIE_ZSPM2E-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E2.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZSPM2E-L1-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E2.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZSPM2E-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Dir-Z
Directional,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\L2.ElmTerm\Cub_2.StaCubic\ZSPMBE_ZSPM2E-L1-7SA6.ElmRelay\Distance Polygonal.ElmRelay\Directional.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,Directional
Directional,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\R1.ElmTerm\Cub_2.StaCubic\ZSPMBE_ZLROME-L1-7SA6.ElmRelay\Distance Polygonal.ElmRelay\Directional.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,Directional
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\R1.ElmTerm\Cub_2.StaCubic\ZSPMBE_ZLROME-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,Dir-Z
Directional,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\R2.ElmTerm\Cub_2.StaCubic\ZSPMBE_ZLROME-L2-7SA6.ElmRelay\Distance Polygonal.ElmRelay\Directional.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,Directional
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\R2.ElmTerm\Cub_2.StaCubic\ZSPMBE_ZLROME-L2-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,Dir-Z
Directional,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\ZSPMAE.ElmSubstat\R3.ElmTerm\Cub_2.StaCubic\ZSPMAE_ZLORIE-L1-7SA6.ElmRelay\Distance Polygonal.ElmRelay\Directional.RelDisdir,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZSPMAE,Directional
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZESEIE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZESEIE_ZHIGUE-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZESEIE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZHIGUE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZHIGUE_ZLROME-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZHIGUE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZHIGUE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZHIGUE_ZLROME-L1-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZHIGUE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZHIGUE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZHIGUE_ZLROME-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZHIGUE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZHIGUE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZHIGUE_ZESEIE-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZHIGUE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZHIGUE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZHIGUE_ZESEIE-L1-REL670.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZHIGUE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZHIGUE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZHIGUE_ZESEIE-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZHIGUE,Dir-Z
Dir-Z,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZHIGUE.ElmSubstat\5(1).ElmTerm\Cub_1.StaCubic\ZHIGUE_ZLROME-L1-7SD52.ElmRelay\Distance/Overcurrent/Voltage.ElmRelay\Dir-Z.RelDisdir,1,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZHIGUE,Dir-Z
