loc_name,for_name,ruta
CT 1500/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 1500/5A.TypCt
CT 1200/1A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 1200/1A.TypCt
CT 120-3000/1-5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 120-3000/1-5A.TypCt
CT 800/1A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 800/1A.TypCt
CT 600/1A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 600/1A.TypCt
CT 600/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 600/5A.TypCt
CT 500/ 1-5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 500/ 1-5A.TypCt
CT 50/1A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 50/1A.TypCt
CT 500/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 500/5A.TypCt
CT 120-1000/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 120-1000/5A.TypCt
CT 120-1500/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 120-1500/5A.TypCt
CT 800/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 800/5A.TypCt
CT 1200/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 1200/5A.TypCt
CT 1600/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 1600/5A.TypCt
CT 1600/1A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 1600/1A.TypCt
CT 400/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 400/5A.TypCt
CT 2000/5A,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\CTs\CT 2000/5A.TypCt
