loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Los Toros 1,G4LTORO1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Toros 1.ElmBmu,1,,,,
Los Toros 2,G4LTORO2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Toros 2.ElmBmu,1,,,,
Sabana Yegua,G4SYEGUA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Sabana Yegua.ElmBmu,1,,,,
Pinalito 2,G4PINAL2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Pinalito 2.ElmBmu,1,,,,
Río Blanco 2,G4RBLAN2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Río Blanco 2.ElmBmu,1,,,,
Pinalito 1,G4PINAL1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Pinalito 1.ElmBmu,1,,,,
Río Blanco 1,G4RBLAN1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Río Blanco 1.ElmBmu,1,,,,
Las Damas,G4LDAMAS,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Las Damas.ElmBmu,1,,,,
Rincón,G4RINCON,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Rincón.ElmBmu,1,,,,
La Vega,G4LVEGA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\La Vega.ElmBmu,1,,,,
Jimenoa,G4JIMENO,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Jimenoa.ElmBmu,1,,,,
Aniana Vargas 1,G4AVARG1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Aniana Vargas 1.ElmBmu,1,,,,
Aniana Vargas 2,G4AVARG2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Aniana Vargas 2.ElmBmu,1,,,,
Sultana del Este,G4SESTE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Sultana del Este.ElmBmu,1,,,,
CESPM 3,G4CESPM3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\CESPM 3.ElmBmu,1,,,,
CESPM 2,G4CESPM2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\CESPM 2.ElmBmu,1,,,,
CESPM 1,G4CESPM1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\CESPM 1.ElmBmu,1,,,,
Contra Embalse Monción 2,G4CEMON2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Contra Embalse Monción 2.ElmBmu,1,,,,
Pimentel 3,G4PIMEN3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Pimentel 3.ElmBmu,1,,,,
METALDOM,G4METALD,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\METALDOM.ElmBmu,1,,,,
Parque Enérgetico Los Mina,G4PEMINA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Parque Enérgetico Los Mina.ElmBmu,1,,,,
Contra Embalse Monción 1,G4CEMON1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Contra Embalse Monción 1.ElmBmu,1,,,,
Haina TG,G4HTG,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Haina TG.ElmBmu,1,,,,
Jiguey 2,G4JIGUE2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Jiguey 2.ElmBmu,1,,,,
Jiguey 1,G4JIGUE1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Jiguey 1.ElmBmu,1,,,,
Monción 2,G4MONCI2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Monción 2.ElmBmu,1,,,,
Monción 1,G4MONCI1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Monción 1.ElmBmu,1,,,,
Pimentel 2,G4PIMEN2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Pimentel 2.ElmBmu,1,,,,
Pimentel 1,G4PIMEN1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Pimentel 1.ElmBmu,1,,,,
AES Andrés,G4AANDRE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\AES Andrés.ElmBmu,1,,,,
Palamara,G4PALAMA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Palamara.ElmBmu,1,,,,
Monte Río,G4MRIO,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Monte Río.ElmBmu,1,,,,
Valdesia 2,G4VALDE2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Valdesia 2.ElmBmu,1,,,,
Valdesia 1,G4VALDE1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Valdesia 1.ElmBmu,1,,,,
Tavera 2,G4TAVER2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Tavera 2.ElmBmu,1,,,,
Tavera 1,G4TAVER1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Tavera 1.ElmBmu,1,,,,
Sabaneta,G4SABANE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Sabaneta.ElmBmu,1,,,,
López Angostura,G4LANGOS,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\López Angostura.ElmBmu,1,,,,
Itabo 2,G4ITABO2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Itabo 2.ElmBmu,1,,,,
Itabo 1,G4ITABO1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Itabo 1.ElmBmu,1,,,,
Hatillo 1,G4HATILL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Hatillo 1.ElmBmu,1,,,,
Domingo Rodríguez 2,G4DRODR2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Domingo Rodríguez 2.ElmBmu,1,,,,
Domingo Rodríguez 1,G4DRODR1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Domingo Rodríguez 1.ElmBmu,1,,,,
Barahona Carbón,G4BCARBO,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Barahona Carbón.ElmBmu,1,,,,
Estrella del Mar 2,G4EMAR2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Estrella del Mar 2.ElmBmu,1,,,,
Aguacate 2,G4AGUAC2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Aguacate 2.ElmBmu,1,,,,
Estrella del Mar 3,G4EMAR3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Estrella del Mar 3.ElmBmu,1,,,,
Los Orígenes Power Plant,G4LOPPLA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Orígenes Power Plant.ElmBmu,1,,,,
San Pedro Bio-Energy,G4SPBIOE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\San Pedro Bio-Energy.ElmBmu,1,,,,
Quisqueya 1,G4QUISQ1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Quisqueya 1.ElmBmu,1,,,,
Quisqueya 2,G4QUISQ2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Quisqueya 2.ElmBmu,1,,,,
Brazo Derecho,G4BDEREC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Brazo Derecho.ElmBmu,1,,,,
Punta Catalina 1,G4PCATA1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Punta Catalina 1.ElmBmu,1,,,,
INCA km 22,G3IKM22,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\INCA km 22.ElmBmu,1,,,,
Los Cocos 2,G4LCOCO2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Cocos 2.ElmBmu,1,,,,
Quilvio Cabrera,G4QCABRE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Quilvio Cabrera.ElmBmu,1,,,,
Los Cocos 1,G4JCOCO1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Cocos 1.ElmBmu,1,,,,
Palomino 2,G4PALOM2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Palomino 2.ElmBmu,1,,,,
Palomino 1,G4PALOM1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Palomino 1.ElmBmu,1,,,,
Aguacate 1,G4AGUAC1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Aguacate 1.ElmBmu,1,,,,
Bersal,G4BERSAL,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Bersal.ElmBmu,1,,,,
Punta Catalina 2,G4PCATA2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Punta Catalina 2.ElmBmu,1,,,,
Larimar 1,G4PELARI,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Larimar 1.ElmBmu,1,,,,
Monte Plata Solar,G4MPSOLA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Monte Plata Solar.ElmBmu,1,,,,
Palenque,G4PALENQ,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Palenque.ElmBmu,1,,,,
Larimar 2,G4PELAR2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Larimar 2.ElmBmu,1,,,,
