loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,barra(bus2),barra(bus2)_for,barra(bus2)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,on_off,aUsage
disconnector(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(5).ElmCoup,WLRPUF(4),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(4).ElmTerm,WLRPUF(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(1).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector(4),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(4).ElmCoup,69 kV La Romana Pueblo,WLRMAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm,WLRPUF(9),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(9).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector(3),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(3).ElmCoup,WLRPUF(8),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(8).ElmTerm,WLRPUF(3),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(3).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector(2),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(2).ElmCoup,69 kV La Romana Pueblo,WLRMAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm,WLRPUF(7),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(7).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
disconnector,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector.ElmCoup,69 kV La Romana Pueblo,WLRMAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm,WLRPUF(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(5).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
ZLRMAF_ZLROMF-L1-Q1,ZLRMAF_ZLROMF-L1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\ZLRMAF_ZLROMF-L1-Q1.ElmCoup,WLRPUF(9),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(9).ElmTerm,WLRPUF(8),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(8).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,cbk
ZLRPUF-C1-Q1,ZLRPUF-C1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\ZLRPUF-C1-Q1.ElmCoup,WLRPUF(7),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(7).ElmTerm,WLRPUF(6),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(6).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,cbk
disconnector(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(1).ElmCoup,WLRPUF(6),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(6).ElmTerm,WLRPUF(2),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(2).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
ZLRPUF-D1-Q1,ZLRPUF-D1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\ZLRPUF-D1-Q1.ElmCoup,WLRPUF(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(5).ElmTerm,WLRPUF(4),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\WLRPUF(4).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,cbk
disconnector(7),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\disconnector(7).ElmCoup,69 kV La Romana Pueblo,WLRMAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\69 kV La Romana Pueblo.ElmTerm,1(2),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat\1(2).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZLRPUF,,0.0,0.0,0.0,1,dct
