loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,barra(bus2),barra(bus2)_for,barra(bus2)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,dline,nlnum,Inom,R0,R1,X0,X1,B0,B1,G1
69 kV Derivación Río Chavón,ZRCHAF_ZXCHAF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Derivación Río Chavón.ElmLne,Tap Chavón,WXCHAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Chavón.ElmTerm,69 kV Río Chavón,WRCHAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Río Chavón.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,P.MADERA/1C/69/1xF - 4/0 ACSR,0.029999999329447746,1,0.3569999933242798,0.019407976418733597,0.007860386744141579,0.04801061376929283,0.013679273426532745,0.053579334169626236,0.11219258606433868,-1.6653344997146072e-18
69 kV La Romana – Rancho Peligro_b,ZGUAYF_ZXBLEF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV La Romana – Rancho Peligro_b.ElmLne,Tap Batey Lechuga,WXBLEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm,Tap Guaymate,WXGYMF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Guaymate.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,P.MADERA TP-IG 50 P/69 - 2/0 AAAC,12.550000190734863,1,0.2849999964237213,11.19015884399414,6.124405384063721,19.64138412475586,6.1678972244262695,24.183130264282227,42.84480667114258,5.22498732140038e-16
69 kV La Romana – Rancho Peligro_a,ZLROMF_ZXBLEF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV La Romana – Rancho Peligro_a.ElmLne,4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROMF.ElmSubstat\4.ElmTerm,Tap Batey Lechuga,WXBLEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,P.MADERA TP-IG 50 P/69 - 2/0 CU,18.5,1,0.36000001430511475,13.043909072875977,5.576463222503662,28.951204299926758,9.089887619018555,35.6484375,63.15768051147461,7.7021722333370235e-16
69 kV Derivación Batey Lechuga,ZBLECF_ZXBLEF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Derivación Batey Lechuga.ElmLne,Tap Batey Lechuga,WXBLEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Batey Lechuga.ElmTerm,69 kV Batey Lechuga,WBLECF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Batey Lechuga.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,P.MADERA TP-IG 50 P/69 - 2/0 CU,6.400000095367432,1,0.36000001430511475,4.512487411499023,1.929154872894287,10.015551567077637,3.1446099281311035,12.332432746887207,21.849143981933594,2.664535364979494e-16
69 kV La Romana – La Romana Pueblo_a,ZLRMAF_ZLROMF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV La Romana – La Romana Pueblo_a.ElmLne,3,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROMF.ElmSubstat\3.ElmTerm,Tap Capacitor 69 kV La Romana Pueblo,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Capacitor 69 kV La Romana Pueblo.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,P.MADERA TVS-1/1C/69/1xF - 4/0 AAAC,2.3970000743865967,1,0.3799999952316284,1.6527708768844604,0.7365679144859314,3.7942821979522705,1.1140869855880737,4.459401607513428,8.722661018371582,-3.326505840765266e-17
69 kV Buena Vista – Higüey_c,ZBENEF_ZHIGUF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Buena Vista – Higüey_c.ElmLne,Tap Benedicto,WXBENF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Benedicto.ElmTerm,WHIGUF(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat\WHIGUF(5).ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,P.MADERA TP-IG 55 P/69 - 4/0 AAAC,27.5,1,0.3799999952316284,19.54408073425293,8.448834419250488,42.570186614990234,13.029640197753906,53.20756149291992,97.54069519042969,-1.5265566588595902e-15
69 kV Hato Mayor 2 – SPM_b,ZCSULF_ZHMAYF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Hato Mayor 2 – SPM_b.ElmLne,Tap Hato Mayor,WXHMAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Hato Mayor.ElmTerm,Tap Consuelo,WXCSUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Consuelo.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,P.MADERA TP-IG 50 P/69 - 559 AAAC,29.0,1,0.6629999876022339,15.19619369506836,3.3798928260803223,43.921600341796875,12.369938850402832,59.4062385559082,113.8804931640625,-8.049116928532385e-16
69 kV Hato Mayor 2 – SPM_a,ZEVALF_ZHMAYF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Hato Mayor 2 – SPM_a.ElmLne,Tap Hato Mayor,WXHMAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Hato Mayor.ElmTerm,2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Hato Mayor 2.ElmSite\WHMA2F.ElmSubstat\2.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,P.MADERA TVS/1C/69/1xF - 559 AAAC,0.8999999761581421,1,0.6629999876022339,0.46079084277153015,0.10459627211093903,1.3921024799346924,0.37391397356987,1.762068748474121,3.615964889526367,3.43475235008518e-17
69 kV SPM – ZF SPM Chentec_c,ZZSPAF_ZZSPMF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV SPM – ZF SPM Chentec_c.ElmLne,Tap ZF SPM,WXZSPF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF SPM.ElmTerm,Tap ZF San Pedro AES,WXSPAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap ZF San Pedro AES.ElmTerm,0,ESTE CERCANO,ESTE,ESTE 69 kV,,P.MADERA TP-IG 55 P/69 - 559 AAAC,0.41999998688697815,1,0.6629999876022339,0.2184309959411621,0.048976339399814606,0.6327452659606934,0.18158058822155,0.8517380952835083,1.6267645359039307,3.205768904195801e-17
69 kV La Romana – Rancho Peligro_c,ZGUAYF_ZRPELF-L1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV La Romana – Rancho Peligro_c.ElmLne,Tap Guaymate,WXGYMF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap Guaymate.ElmTerm,69 kV Rancho Peligro,WRPELF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Rancho Peligro.ElmTerm,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,,P.MADERA TP-IG 50 P/69 - 2/0 AAAC,7.300000190734863,1,0.2849999964237213,6.509016990661621,3.5624032020568848,11.424869537353516,3.5877010822296143,14.066681861877441,24.921680450439453,3.039235741669603e-16
