loc_name,for_name,ruta,cpZone,cpArea,cpGrid,GPSlat,GPSlon
ZLRPUF,ZLRPUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZLRPUF.ElmSubstat,,ESTE,ESTE 69 kV,0.0,0.0
ZHIGUF,ZHIGUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZHIGUF.ElmSubstat,,ESTE,ESTE 69 kV,0.0,0.0
ZMPLAF,ZMPLAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat,,CENTRAL,ESTE 69 kV,0.0,0.0
ZMPSOK,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat,,,ESTE 69 kV,0.0,0.0
ZBVISF,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat,,,ESTE 69 kV,0.0,0.0
ZCINAF,ZCINAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat,SUR CERCANO,SUR,CENTRAL 69 kV,0.0,0.0
ZDESPF,ZDESPF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat,,CENTRAL,CENTRAL 69 kV,0.0,0.0
ZLCALF,ZLCALF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZLCALF.ElmSubstat,,ESTE,CENTRAL 69 kV,0.0,0.0
ZEMARF,ZEMARF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat,,CENTRAL,CENTRAL 69 kV,0.0,0.0
ZZAMEF,ZZAMEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZZAMEF.ElmSubstat,,ESTE,CENTRAL 69 kV,0.0,0.0
