loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\Starting.RelFdetabb,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\Starting.RelFdetabb,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZLROME_ZHIGUE-L1-REL670.ElmRelay\Starting.RelFdetabb,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L2-REL670.ElmRelay\Starting.RelFdetabb,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\ZLROME_ZSPMBE-L1-REL670.ElmRelay\Starting.RelFdetabb,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZLROME,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\Starting.RelFdetabb,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\Starting.RelFdetabb,0,ESTE CERCANO,ESTE,ESTE 138 kV,,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-REL670.ElmRelay\Starting.RelFdetabb,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E2.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZSPM2E-L1-REL670.ElmRelay\Starting.RelFdetabb,0,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Starting
Starting,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZHIGUE.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\ZHIGUE_ZLROME-L1-REL670.ElmRelay\Starting.RelFdetabb,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,ZHIGUE,Starting
